N	2gram	Tiupa_Lite_3	KulturaY
1	в том	12	30
2	и в	16	24
3	потому что	3	23
4	том что	8	21
5	что в	2	17
6	того чтобы	2	17
7	для того	2	16
8	было бы	2	15
9	в этом	14	14
10	точки зрения	7	14
11	может быть	12	13
12	все же	2	12
13	в его	6	12
14	и не	22	12
15	не в	10	11
16	только в	7	11
17	в самом	3	10
18	у нас	2	10
19	не только	14	10
20	если бы	2	9
21	то что	12	9
22	прежде всего	3	9
23	отношению к	4	9
24	самом деле	3	9
25	того что	9	9
26	с точки	3	9
27	о том	6	9
28	том чтобы	2	8
29	по отношению	4	8
30	то же	9	8
31	уже не	3	8
32	а не	12	8
33	как раз	2	8
34	тем что	2	8
35	не менее	2	7
36	с другой	6	7
37	связи с	2	7
38	в качестве	5	7
39	как бы	8	7
40	вместе с	5	7
41	не может	8	7
42	это не	5	7
43	в области	3	7
44	так и	9	7
45	однако не	3	6
46	именно в	5	6
47	что он	5	6
48	при этом	15	6
49	но и	14	6
50	другой стороны	2	6
51	не случайно	3	6
52	еще и	2	5
53	к тому	6	5
54	но не	4	5
55	еще не	6	5
56	что не	2	5
57	например в	3	5
58	но уже	3	5
59	этом отношении	5	5
60	и вовсе	2	5
61	а в	5	5
62	и его	6	5
63	между тем	3	5
64	xix века	2	5
65	и с	2	5
66	в рамках	4	4
67	с его	6	4
68	в частности	11	4
69	к себе	8	4
70	и потому	2	4
71	на то	2	4
72	в нем	2	4
73	же в	2	4
74	по существу	4	4
75	разумеется не	3	4
76	того же	2	4
77	из них	4	4
78	один из	2	4
79	что и	2	4
80	в целом	5	4
81	со стороны	7	4
82	как в	5	4
83	и тогда	2	4
84	внимание на	2	4
85	тем самым	7	4
86	так же	2	4
87	с ними	2	4
88	и на	2	4
89	в данном	4	4
90	там где	3	4
91	как на	3	3
92	если не	2	3
93	состоит в	6	3
94	на себя	2	3
95	или иной	2	3
96	то это	2	3
97	можно сказать	2	3
98	в первом	2	3
99	в г	3	3
100	в соответствии	3	3
101	соответствии с	5	3
102	в этой	8	3
103	в противовес	7	3
104	в свою	2	3
105	и если	4	3
106	но еще	2	3
107	даже в	4	3
108	оно не	2	3
109	не с	2	3
110	на его	3	3
111	когда он	2	3
112	и даже	2	3
113	несмотря на	2	3
114	должно быть	4	3
115	той же	3	3
116	хотя и	4	3
117	в себе	6	3
118	здесь не	2	3
119	как это	3	3
120	в одном	4	3
121	я не	2	2
122	о чем	3	2
123	никогда не	4	2
124	по большей	2	2
125	с этой	2	2
126	но с	2	2
127	так или	2	2
128	не всегда	2	2
129	не знаю	2	2
130	вопрос о	2	2
131	по себе	2	2
132	большей части	2	2
133	в то	9	2
134	как о	2	2
135	как и	5	2
136	и как	3	2
137	и при	2	2
138	в сторону	3	2
139	а на	2	2
140	же время	7	2
141	в своей	7	2
142	одним из	4	2
143	от себя	2	2
144	о нем	2	2
145	к жизни	2	2
146	и тем	3	2
147	ее в	2	2
148	еще один	2	2
149	не говоря	4	2
150	бы и	3	2
151	и а	3	2
152	а именно	5	2
153	как например	2	2
154	и для	4	2
155	в слове	3	2
156	целом и	2	2
157	лишь в	5	2
158	во втором	2	2
159	или иначе	2	2
160	одно из	4	2
161	что я	5	2
162	могли бы	2	2
163	в иных	3	2
164	до конца	4	2
165	здесь как	2	2
166	тогда как	17	2
167	но в	3	2
