N	2gram	Savitsky_E_1	Vvedenie
1	т е	9	35
2	и в	37	32
3	в том	11	31
4	в этом	12	30
5	может быть	6	26
6	том что	6	26
7	не только	18	22
8	для того	6	21
9	того чтобы	6	20
10	таким образом	2	19
11	также и	7	18
12	то что	6	16
13	потому что	3	15
14	так как	7	15
15	но также	2	14
16	не может	9	14
17	в самом	4	13
18	о том	3	13
19	со стороны	5	13
20	того что	7	12
21	в общем	3	12
22	в их	11	12
23	и не	14	12
24	как на	3	12
25	представляет собой	3	12
26	в его	2	12
27	только в	9	12
28	как мы	5	11
29	в ее	8	11
30	в данном	3	11
31	что в	21	10
32	но в	14	9
33	и как	2	9
34	в истории	2	9
35	между тем	8	9
36	этом смысле	3	9
37	по себе	4	9
38	то же	15	9
39	в той	5	9
40	с другой	7	8
41	не в	5	8
42	именно в	4	8
43	прежде всего	9	7
44	вопрос о	4	7
45	точки зрения	23	7
46	в применении	3	7
47	уже и	3	7
48	но не	5	7
49	было бы	8	7
50	можно было	3	7
51	не могут	2	6
52	же время	14	6
53	но и	14	6
54	применении к	3	6
55	и даже	6	6
56	в то	16	6
57	с тем	3	6
58	вовсе не	6	6
59	как и	7	6
60	в качестве	14	6
61	а именно	2	6
62	хотя бы	15	6
63	этот вопрос	2	6
64	тем что	3	6
65	культуры как	2	6
66	в какой	2	5
67	течением времени	2	5
68	на этот	2	5
69	но если	5	5
70	как бы	6	5
71	с течением	2	5
72	и тем	3	5
73	данном случае	2	5
74	другой стороны	2	5
75	в которых	3	5
76	сказать что	4	5
77	в них	3	5
78	по своему	7	5
79	не есть	2	5
80	вместе с	2	5
81	в течение	5	5
82	а не	2	5
83	могут быть	2	5
84	независимо от	4	4
85	с этой	6	4
86	одной стороны	8	4
87	всяком случае	3	4
88	в котором	2	4
89	этот процесс	2	4
90	этом отношении	3	4
91	с одной	8	4
92	и что	2	4
93	не имеет	4	4
94	а в	2	4
95	как это	4	4
96	от этого	5	4
97	эти области	6	4
98	сравнению с	2	4
99	по сравнению	2	4
100	в своей	8	4
101	в виде	5	4
102	и для	3	4
103	и то	2	4
104	во всяком	3	4
105	само по	4	4
106	в себе	9	4
107	он сам	2	3
108	что это	2	3
109	в частности	5	3
110	в этих	2	3
111	вообще не	3	3
112	бы и	3	3
113	можно сказать	4	3
114	к тому	8	3
115	в известной	3	3
116	в этой	2	3
117	известном смысле	3	3
118	хотя и	2	3
119	в ней	4	3
120	к нему	2	3
121	духовной жизни	2	3
122	мы видели	3	3
123	во второй	3	3
124	из них	3	3
125	отношений между	2	3
126	в своем	14	3
127	и других	2	3
128	заключается в	2	3
129	так же	9	3
130	и на	6	3
131	культуры в	4	3
132	в результате	3	3
133	при помощи	2	3
134	тогда когда	2	3
135	в известном	3	3
136	если бы	2	3
137	стороны и	6	3
138	и к	3	3
139	говорит о	3	3
140	чем в	4	3
141	одной из	5	3
142	в одном	2	3
143	культуры не	2	3
144	а также	7	3
145	как оно	2	3
146	что и	3	3
147	дело в	3	3
148	что же	2	3
149	на основании	2	3
150	но с	2	3
151	в каком	4	3
152	как будто	2	3
153	данного народа	3	3
154	в области	11	3
155	же как	5	2
156	должна быть	2	2
157	все более	9	2
158	никогда не	3	2
159	в отношении	32	2
160	чем больше	2	2
161	или иной	4	2
162	не нужно	2	2
163	что если	2	2
164	всего к	2	2
165	несмотря на	4	2
166	из числа	4	2
167	как совокупность	4	2
168	мог бы	2	2
169	какой бы	2	2
170	говоря уже	2	2
171	не к	2	2
172	не говоря	2	2
173	во втором	2	2
174	ее от	2	2
175	и с	2	2
176	с этим	2	2
177	той или	4	2
178	народов и	3	2
179	бы в	2	2
180	так и	10	2
181	и чем	2	2
182	культурной жизни	4	2
183	проблемы и	2	2
184	и творчества	2	2
185	по признаку	3	2
186	в содержании	2	2
187	для них	2	2
188	в известных	2	2
189	и со	3	2
190	большей части	2	2
191	есть не	2	2
192	тем более	4	2
193	того же	3	2
194	во всех	6	2
195	в прошлом	3	2
196	мы должны	2	2
197	жизни и	2	2
198	человеческой культуры	2	2
199	что к	2	2
200	второй половине	2	2
201	которого мы	2	2
202	из того	2	2
203	и сейчас	2	2
204	в значительной	2	2
205	между ними	2	2
206	с точки	17	2
207	мы не	4	2
208	которое в	2	2
209	в силу	2	2
210	мы можем	3	2
211	время в	3	2
