N	2gram	Tiupa_Vved_1	SlovoVZh
1	не может	7	16
2	может быть	18	14
3	и его	5	13
4	как бы	4	13
5	таким образом	4	12
6	и в	13	12
7	в нашем	6	11
8	отношению к	7	11
9	по отношению	7	11
10	и не	12	10
11	если бы	7	9
12	прежде всего	7	8
13	для нас	2	7
14	в нем	5	6
15	при этом	26	6
16	в том	10	6
17	только в	6	6
18	в ней	4	6
19	в жизни	4	5
20	то что	6	5
21	должна быть	2	5
22	никогда не	4	5
23	а не	15	5
24	можно сказать	4	5
25	то же	5	5
26	как и	11	5
27	том что	7	5
28	отнюдь не	7	5
29	как в	4	5
30	что мы	2	5
31	героя и	3	5
32	но в	6	5
33	и к	2	4
34	все же	6	4
35	отношение к	2	4
36	жизни и	7	4
37	высказывания как	3	4
38	так и	8	4
39	с другой	5	4
40	на самом	4	4
41	уже не	5	4
42	в литературе	2	4
43	не в	6	4
44	в этом	21	4
45	и на	3	4
46	в самом	2	4
47	не только	20	4
48	в котором	8	3
49	в них	2	3
50	точка зрения	3	3
51	и более	3	3
52	не к	4	3
53	не менее	4	3
54	в своей	5	3
55	быть и	2	3
56	и по	3	3
57	по себе	2	3
58	но и	19	3
59	того что	6	3
60	и наконец	2	3
61	точек зрения	2	3
62	или не	2	3
63	тем не	3	3
64	самом деле	3	3
65	мы не	4	3
66	и с	2	3
67	о том	5	3
68	в себе	5	3
69	для него	3	3
70	в пределах	2	3
71	еще не	7	3
72	и для	3	3
73	здесь не	2	3
74	с ним	3	3
75	место в	2	2
76	зависит от	2	2
77	что и	2	2
78	что в	3	2
79	данном случае	6	2
80	а к	3	2
81	в этих	3	2
82	на него	2	2
83	все они	2	2
84	между собой	2	2
85	в своем	5	2
86	в какой	4	2
87	другой стороны	2	2
88	это не	6	2
89	дело с	2	2
90	мы имеем	5	2
91	и все	4	2
92	бы не	2	2
93	тому же	4	2
94	с одной	5	2
95	к этому	2	2
96	те же	2	2
97	слова но	2	2
98	едва ли	3	2
99	в событии	4	2
100	но это	3	2
101	в данном	13	2
102	мы можем	2	2
103	но не	5	2
104	быть только	2	2
105	могут быть	4	2
106	до конца	3	2
107	в то	4	2
108	одной стороны	5	2
109	подчеркнуть что	5	2
110	имеет место	4	2
111	к ним	2	2
112	к его	3	2
113	он не	3	2
114	в его	4	2
