N	2gram	Savitsky_E_1	Dialekti
1	не есть	2	47
2	т е	9	30
3	и не	14	30
4	может быть	6	20
5	и в	37	19
6	не только	18	19
7	по себе	4	18
8	а не	2	16
9	в себе	9	15
10	то что	6	14
11	и даже	6	14
12	в том	11	14
13	как бы	6	14
14	так как	7	14
15	потому что	3	14
16	вовсе не	6	13
17	но и	14	12
18	то же	15	12
19	точки зрения	23	12
20	и все	2	12
21	что это	2	10
22	как и	7	10
23	и как	2	10
24	так и	10	10
25	том что	6	10
26	сказать что	4	10
27	никогда не	3	9
28	не может	9	9
29	прежде всего	9	8
30	это значит	2	8
31	она не	2	8
32	с точки	17	8
33	не в	5	8
34	в этом	12	8
35	в своей	8	8
36	есть не	2	7
37	как это	4	7
38	и к	3	7
39	что в	21	7
40	и притом	4	7
41	и то	2	7
42	как будто	2	7
43	и та	2	6
44	отнюдь не	9	6
45	в то	16	6
46	но не	5	6
47	того что	7	6
48	жизни и	2	6
49	тогда когда	2	6
50	должна быть	2	5
51	с другой	7	5
52	есть ли	2	5
53	же время	14	5
54	в силу	2	5
55	по своему	7	5
56	можно сказать	4	5
57	в самом	4	5
58	и потому	5	5
59	что и	3	5
60	а именно	2	5
61	и что	2	5
62	в смысле	9	5
63	но как	2	5
64	только в	9	5
65	о том	3	5
66	и с	2	5
67	независимо от	4	4
68	в своем	14	4
69	в одном	2	4
70	не могут	2	4
71	одна и	2	4
72	в ее	8	4
73	и если	2	4
74	к нему	2	4
75	той или	4	4
76	он не	2	4
77	хотя бы	15	4
78	другой стороны	2	4
79	и только	3	4
80	таким образом	2	4
81	заключается в	2	4
82	и по	5	4
83	а в	2	4
84	в таком	3	4
85	могут быть	2	4
86	в каком	4	4
87	по своей	2	4
88	и более	2	3
89	же как	5	3
90	можно ли	3	3
91	в этих	2	3
92	и от	3	3
93	вопрос о	4	3
94	как мы	5	3
95	в этой	2	3
96	что если	2	3
97	было бы	8	3
98	и мы	3	3
99	себе не	3	3
100	даже в	4	3
101	и тут	2	3
102	как же	2	3
103	из них	3	3
104	с этим	2	3
105	в той	5	3
106	или точнее	2	3
107	в данном	3	3
108	от этого	5	3
109	то не	2	3
110	что же	2	2
111	само по	4	2
112	уже и	3	2
113	и можно	2	2
114	в частности	5	2
115	в какой	2	2
116	их из	2	2
117	именно в	4	2
118	к тому	8	2
119	что на	2	2
120	же в	2	2
121	мы видим	2	2
122	в истории	2	2
123	не будет	3	2
124	с тем	3	2
125	очевидно что	3	2
126	и прежде	3	2
127	в общем	3	2
128	несмотря на	4	2
129	в ней	4	2
130	в сфере	3	2
131	всяком случае	3	2
132	только к	2	2
133	если в	2	2
134	говоря уже	2	2
135	в мире	2	2
136	только одно	2	2
137	как не	2	2
138	будет ли	2	2
139	во всех	6	2
140	в некоторых	2	2
141	не говоря	2	2
142	ее в	3	2
143	данном случае	2	2
144	в их	11	2
145	нельзя ли	3	2
146	так же	9	2
147	не на	4	2
148	с одной	8	2
149	как в	3	2
150	культуры и	2	2
151	в определенном	3	2
152	бы и	3	2
153	или в	2	2
154	в сферу	2	2
155	в своих	2	2
156	также и	7	2
157	в результате	3	2
158	бы ни	3	2
159	между тем	8	2
160	тем что	3	2
161	в виде	5	2
162	во все	3	2
163	или по	2	2
164	мы должны	2	2
165	того или	4	2
166	во всяком	3	2
167	что эти	2	2
168	если брать	2	2
169	есть в	2	2
170	ни на	3	2
171	в области	11	2
172	но в	14	2
173	вместе с	2	2
