N	2gram	Berdyaev_M_1	Hudozhes
1	и в	28	28
2	том что	3	19
3	в ее	3	18
4	и не	11	18
5	в том	6	15
6	а не	25	14
7	не в	16	13
8	в этом	20	13
9	о том	2	12
10	как и	5	11
11	в его	9	11
12	не только	29	11
13	уже не	4	10
14	но и	25	9
15	в себе	7	9
16	о чем	2	8
17	в жизни	3	8
18	что он	10	8
19	может быть	30	8
20	себя в	3	8
21	жизни в	2	7
22	и все	10	7
23	к тому	3	7
24	в мире	10	7
25	отношению к	2	7
26	по отношению	2	7
27	с ним	2	7
28	это не	5	6
29	в котором	8	6
30	то что	5	6
31	жизни и	2	6
32	в своей	15	6
33	человеческой жизни	2	6
34	если бы	2	6
35	не было	18	6
36	а в	4	6
37	и с	3	6
38	тем что	4	6
39	в то	2	6
40	с его	3	5
41	у него	17	5
42	в своем	10	5
43	как бы	2	5
44	как в	2	5
45	в этой	6	5
46	что в	10	5
47	она не	4	5
48	в самом	11	5
49	никогда не	14	5
50	и его	9	5
51	одно из	3	5
52	для него	11	5
53	ничего не	3	5
54	бы и	3	4
55	но не	8	4
56	для того	2	4
57	он не	24	4
58	что и	4	4
59	и сама	2	4
60	не может	28	4
61	человека в	13	4
62	того чтобы	2	4
63	человеческой индивидуальности	2	4
64	как будто	2	4
65	только в	6	4
66	бы не	2	3
67	в человеке	8	3
68	человек в	9	3
69	в них	4	3
70	о себе	3	3
71	человека и	14	3
72	личности в	2	3
73	прежде всего	10	3
74	в нем	13	3
75	для нас	3	3
76	все что	2	3
77	есть и	3	3
78	было бы	10	3
79	в ней	15	3
80	не все	2	3
81	в этих	4	3
82	все это	6	3
83	у всех	2	3
84	чтобы не	2	3
85	и он	12	3
86	и на	6	3
87	будто бы	3	3
88	как он	2	3
89	и это	12	3
90	к нему	7	3
91	все его	3	3
92	он знает	2	2
93	в основе	2	2
94	место в	2	2
95	он сам	6	2
96	прежде чем	2	2
97	т е	2	2
98	себя и	3	2
99	мысли о	2	2
100	не как	4	2
101	и от	2	2
102	с собой	3	2
103	а как	2	2
104	на этом	3	2
105	и к	2	2
106	он уже	6	2
107	к ней	4	2
108	о нем	2	2
109	до сих	2	2
110	сам не	2	2
111	один из	4	2
112	все же	2	2
113	отношение к	4	2
114	ни с	4	2
115	вместе с	6	2
116	сих пор	2	2
117	который был	2	2
118	мысли и	2	2
119	приводит к	2	2
120	который и	2	2
121	лишь в	6	2
122	и у	2	2
123	хотя бы	3	2
124	и для	2	2
125	о боге	6	2
126	в любви	4	2
127	сказать что	2	2
128	потому что	16	2
129	точки зрения	4	2
130	с самим	2	2
131	с того	2	2
132	его в	3	2
133	нет ничего	7	2
134	она может	2	2
135	но в	7	2
136	любви к	7	2
