N	2gram	Propp_Russ_2	Mirosoze
1	может быть	13	30
2	не только	10	29
3	и в	29	28
4	не может	5	28
5	но и	8	25
6	а не	4	25
7	в этом	11	20
8	не было	2	18
9	не в	4	16
10	потому что	5	16
11	в своей	2	15
12	никогда не	2	14
13	до конца	3	14
14	что в	22	10
15	прежде всего	2	10
16	и все	4	10
17	было бы	3	10
18	но он	3	9
19	с тем	6	9
20	но не	5	8
21	в котором	3	8
22	не был	2	7
23	того что	3	7
24	но в	5	7
25	к нему	4	7
26	в том	22	6
27	в этой	3	6
28	все это	10	6
29	и на	6	6
30	все в	2	6
31	вместе с	6	6
32	в которой	2	6
33	это не	5	5
34	если он	2	5
35	у нас	4	5
36	как и	11	5
37	то что	5	5
38	в этих	3	4
39	с этой	2	4
40	не к	2	4
41	в их	2	4
42	и по	3	4
43	а в	9	4
44	в которых	4	4
45	и там	3	4
46	должен был	3	4
47	в них	4	4
48	один из	2	4
49	это и	2	4
50	она не	3	4
51	к ней	2	4
52	что и	2	4
53	уже не	4	4
54	тем что	3	4
55	для нас	6	3
56	но если	3	3
57	в него	2	3
58	в свете	3	3
59	не имеет	3	3
60	должно быть	2	3
61	в момент	2	3
62	с этим	2	3
63	и еще	2	3
64	его в	8	3
65	так как	13	3
66	и с	10	3
67	на этом	3	3
68	для них	2	3
69	одно из	2	3
70	человека а	2	3
71	в ее	3	3
72	том что	22	3
73	вряд ли	2	3
74	будто бы	5	3
75	и от	3	2
76	вопрос о	4	2
77	живет в	3	2
78	о чем	4	2
79	для того	6	2
80	одним из	2	2
81	в виду	2	2
82	под ним	2	2
83	могут быть	2	2
84	все эти	3	2
85	и что	5	2
86	людей и	2	2
87	решить вопрос	2	2
88	как бы	18	2
89	о том	9	2
90	когда мы	2	2
91	жизни в	2	2
92	на природу	2	2
93	к этому	5	2
94	нет никаких	2	2
95	в то	2	2
96	чем в	2	2
97	то время	2	2
98	связано с	2	2
99	еще в	2	2
100	в этот	10	2
101	должен быть	2	2
102	все же	2	2
103	с ней	5	2
104	как в	7	2
105	на земле	5	2
106	т е	24	2
107	церковь и	3	2
108	того чтобы	6	2
109	и как	2	2
110	и для	2	2
111	не все	4	2
