N	2gram	Bakhtin_fo_2	NovoeSre
1	а не	4	17
2	не может	2	16
3	и в	46	16
4	совсем не	2	12
5	и не	9	11
6	и есть	2	10
7	что в	5	9
8	в эпоху	4	9
9	жизни и	8	8
10	он не	5	8
11	в том	10	8
12	средние века	3	7
13	как и	8	7
14	в этом	22	7
15	может быть	7	7
16	никогда не	6	6
17	не знает	2	6
18	не в	9	6
19	лишь в	2	6
20	но это	2	6
21	в нем	5	5
22	все это	6	5
23	и к	2	5
24	не только	11	5
25	то что	7	4
26	перестает быть	2	4
27	в них	7	4
28	это не	2	4
29	и все	6	4
30	не было	3	4
31	в час	2	4
32	и для	9	4
33	должно быть	5	4
34	эпохи и	2	4
35	потому что	8	4
36	по своему	2	4
37	прежде всего	14	4
38	о том	4	4
39	значит что	2	4
40	и потому	2	4
41	но и	9	3
42	в средние	3	3
43	в истории	4	3
44	жизни в	4	3
45	с другой	2	3
46	человека и	4	3
47	в духе	2	3
48	во всех	11	3
49	и пр	2	3
50	эти формы	2	3
51	к тому	3	3
52	в мире	4	3
53	бога и	2	3
54	в основе	6	3
55	с тем	2	3
56	смысле слова	2	3
57	в прошлом	3	3
58	конечно не	4	3
59	как в	4	3
60	она не	2	3
61	еще не	6	3
62	наряду с	2	3
63	к ним	2	3
64	к реальному	3	3
65	времени в	7	2
66	что все	2	2
67	жизни как	2	2
68	и весь	2	2
69	на протяжении	3	2
70	место в	4	2
71	у него	9	2
72	вместе с	9	2
73	века и	2	2
74	все они	3	2
75	так и	7	2
76	и т.п	2	2
77	и от	2	2
78	и было	4	2
79	а в	3	2
80	с одной	2	2
81	все эти	5	2
82	этот мир	2	2
83	уже не	3	2
84	нет и	3	2
85	для нового	2	2
86	роль в	3	2
87	того чтобы	8	2
88	и даже	3	2
89	но не	5	2
90	так же	2	2
91	по существу	5	2
92	том что	4	2
93	в смысле	5	2
94	и с	6	2
95	могут быть	2	2
96	с этим	5	2
97	равно как	2	2
98	и на	7	2
99	в себе	4	2
100	в то	5	2
101	не могла	2	2
102	самой жизни	3	2
103	и это	2	2
104	для чего	2	2
105	мира и	9	2
106	как это	2	2
107	и должно	2	2
108	не могли	3	2
109	хотя и	3	2
110	но в	10	2
