N	2gram	Medvedev_U_1	Problema
1	и в	14	44
2	и не	8	35
3	не есть	2	35
4	может быть	6	28
5	по себе	2	25
6	то что	7	23
7	в том	2	21
8	только в	2	19
9	а не	10	18
10	в этом	7	17
11	даже и	2	16
12	художественного произведения	2	14
13	не только	10	14
14	и то	3	14
15	не в	2	13
16	то же	5	13
17	но в	3	12
18	том что	2	12
19	но и	4	10
20	у нас	3	10
21	как и	3	10
22	это не	3	9
23	и с	2	9
24	же самое	2	9
25	что он	2	9
26	в то	3	9
27	в его	2	9
28	что и	2	9
29	таким образом	2	9
30	что мы	2	8
31	но это	2	8
32	было бы	3	8
33	художественное произведение	5	8
34	как раз	2	8
35	в себе	2	8
36	с другой	4	7
37	не может	7	7
38	мы не	2	7
39	для этого	3	6
40	то ни	3	6
41	и только	5	6
42	все же	3	6
43	в конце	2	5
44	крайней мере	2	5
45	другой стороны	3	5
46	все это	5	5
47	по крайней	2	5
48	тех или	2	5
49	в своей	3	5
50	но даже	2	4
51	и является	2	4
52	в искусстве	6	4
53	могли бы	2	4
54	сколько угодно	2	4
55	или иных	2	4
56	на первый	2	4
57	бы то	3	4
58	нас в	2	4
59	тем что	2	4
60	ни от	2	4
61	это уже	2	3
62	формы и	2	3
63	прежде всего	8	3
64	ни было	3	3
65	в этой	4	3
66	для него	3	3
67	в самом	2	3
68	конце концов	2	3
69	если бы	2	3
70	художественном произведении	2	3
71	но не	2	3
72	в художественном	5	3
73	если не	2	3
74	самом деле	2	3
75	что такое	4	3
76	хотя бы	5	3
77	ничего не	2	3
78	в частности	3	2
79	все они	2	2
80	не столько	2	2
81	что все	2	2
82	всех этих	2	2
83	этого термина	2	2
84	до сих	2	2
85	о чем	2	2
86	при таком	2	2
87	в их	4	2
88	в буквальном	2	2
89	является в	2	2
90	а как	2	2
91	по существу	2	2
92	литературы и	2	2
93	нам представляется	2	2
94	только к	3	2
95	сих пор	2	2
96	и у	2	2
97	и для	2	2
98	мы и	2	2
99	могут быть	2	2
100	же не	2	2
101	это было	2	2
