N	3gram	Bakhtin_Pr_3	Vvedenie
1	и т д	2	36
2	о том что	2	12
3	тем не менее	2	8
4	не может быть	6	8
5	в этом смысле	4	8
6	то же время	12	6
7	в самом деле	3	6
8	в то же	12	6
9	и т п	6	5
10	с другой стороны	3	5
11	по крайней мере	3	4
12	в этом случае	2	4
13	и в этом	2	4
14	во всяком случае	5	4
15	по отношению к	5	4
16	как мы видели	2	3
17	и в самом	3	3
18	но в то	3	3
19	вместе с тем	2	3
20	сама по себе	2	3
21	смысле этого слова	2	2
22	в конце концов	3	2
23	той или иной	2	2
24	с точки зрения	4	2
25	хотя бы и	2	2
26	подобно тому как	2	2
27	что в нем	2	2
