N	2gram	Bakhtin_Fr_3	NovoeSre
1	а не	5	17
2	не может	3	16
3	и в	40	16
4	нового времени	2	12
5	и не	13	11
6	и есть	3	10
7	что в	12	9
8	в эпоху	8	9
9	жизни и	4	8
10	он не	9	8
11	в том	8	8
12	средние века	2	7
13	культуры и	7	7
14	как и	11	7
15	это есть	2	7
16	в этом	15	7
17	к новому	2	7
18	может быть	9	7
19	с его	3	6
20	лишь в	2	6
21	но это	3	6
22	ни в	4	6
23	в нем	5	5
24	все это	4	5
25	xix века	4	5
26	и к	3	5
27	в ней	4	5
28	не только	13	5
29	не менее	2	4
30	то что	5	4
31	в них	9	4
32	большую роль	2	4
33	это не	2	4
34	и все	9	4
35	не было	5	4
36	и для	5	4
37	эпохи и	2	4
38	потому что	2	4
39	прежде всего	16	4
40	о том	4	4
41	и потому	4	4
42	к жизни	2	3
43	но и	11	3
44	в своей	6	3
45	в истории	4	3
46	с другой	2	3
47	в духе	7	3
48	во всех	6	3
49	в мире	4	3
50	в ее	3	3
51	в основе	5	3
52	смысле слова	4	3
53	конечно не	2	3
54	как в	3	3
55	еще не	3	3
56	сказать что	3	3
57	времени и	2	2
58	на протяжении	3	2
59	у него	8	2
60	вместе с	3	2
61	от старого	2	2
62	века и	4	2
63	так и	3	2
64	для этого	3	2
65	от новой	2	2
66	и т.п	10	2
67	который в	2	2
68	и от	3	2
69	а в	3	2
70	средневековья и	4	2
71	все эти	8	2
72	думать что	2	2
73	этот мир	2	2
74	быть в	2	2
75	для нового	2	2
76	роль в	4	2
77	того чтобы	4	2
78	и даже	4	2
79	хотя бы	2	2
80	но не	2	2
81	это и	2	2
82	мы не	2	2
83	том что	4	2
84	можно было	3	2
85	связана с	2	2
86	связаны с	5	2
87	одна из	3	2
88	и с	8	2
89	с этим	2	2
90	и на	8	2
91	не к	2	2
92	в мировой	4	2
93	в себе	3	2
94	в то	6	2
95	общества и	2	2
96	и это	2	2
97	такого рода	3	2
98	но в	8	2
