N	2gram	Vygotskiy__1	DiskursI
1	в качестве	2	34
2	не только	13	28
3	в том	30	23
4	а не	13	22
5	то есть	26	20
6	том что	16	19
7	может быть	22	17
8	представляет собой	2	17
9	и в	31	16
10	как и	16	16
11	в этом	12	15
12	но и	2	14
13	при этом	19	13
14	прежде всего	4	11
15	но не	3	11
16	и не	16	11
17	с другой	5	10
18	как в	9	10
19	далеко не	2	10
20	в частности	3	9
21	состоит в	3	9
22	в нем	2	9
23	одной стороны	6	9
24	не может	17	9
25	с одной	5	9
26	отнюдь не	6	8
27	так и	3	8
28	о том	7	8
29	но в	3	8
30	в основе	2	7
31	в его	6	7
32	со стороны	4	7
33	то же	5	7
34	не было	3	7
35	роль в	3	7
36	в себе	4	7
37	только в	14	7
38	не в	11	7
39	в своем	3	6
40	и как	2	6
41	к тому	4	5
42	тому же	3	5
43	в силу	3	5
44	как бы	5	5
45	в котором	4	5
46	в своей	3	5
47	то что	32	5
48	в процессе	5	5
49	в отличие	3	5
50	а в	6	5
51	в себя	2	5
52	отличие от	4	5
53	личного авторства	2	5
54	что в	23	4
55	не является	5	4
56	в них	2	4
57	и к	3	4
58	что он	7	4
59	уже не	2	4
60	в целом	5	4
61	и о	4	4
62	отношение к	2	4
63	в которых	3	4
64	потому что	10	4
65	между тем	4	4
66	могут быть	11	4
67	литературной традиции	3	3
68	того же	2	3
69	столь же	4	3
70	в одной	3	3
71	по себе	9	3
72	что и	13	3
73	в ее	5	3
74	с этим	3	3
75	в самом	11	3
76	имеет место	2	3
77	к ним	2	3
78	себе не	3	3
79	один из	4	3
80	все же	5	3
81	из них	2	3
82	таким образом	20	3
83	заключается в	7	3
84	того что	10	3
85	должны быть	3	3
86	другой стороны	5	3
87	и даже	6	3
88	принадлежат к	2	3
89	в своих	4	3
90	сказать что	7	3
91	точки зрения	15	3
92	в то	5	3
93	тому как	7	3
94	и составляет	2	3
95	зрения на	2	3
96	в произведении	3	3
97	и потому	2	3
98	слова в	3	2
99	не менее	2	2
100	и есть	5	2
101	никогда не	8	2
102	в разные	2	2
103	и без	2	2
104	в какой	5	2
105	и во	2	2
106	одного и	2	2
107	и все	5	2
108	в одном	2	2
109	в каждом	3	2
110	это в	2	2
111	к этому	4	2
112	к работе	2	2
113	не всегда	2	2
114	стороны и	3	2
115	различие между	4	2
116	самому себе	2	2
117	есть в	7	2
118	более или	2	2
119	указывает на	4	2
120	отличается от	2	2
121	что с	2	2
122	в сущности	10	2
123	иначе говоря	5	2
124	к другим	2	2
125	совпадает с	4	2
126	хотя и	3	2
127	будто бы	2	2
128	например в	3	2
129	точка зрения	4	2
130	и тем	2	2
131	не есть	3	2
132	когда он	2	2
133	или менее	2	2
134	что же	2	2
135	мысли и	2	2
136	приводит к	2	2
137	целый ряд	6	2
138	дело с	3	2
139	как к	2	2
140	уже в	3	2
141	как мы	2	2
142	и что	8	2
143	том чтобы	7	2
144	х годов	5	2
145	в науке	2	2
146	исходя из	3	2
147	и по	3	2
148	и его	7	2
149	во всяком	8	2
150	мы имеем	4	2
151	подобно тому	5	2
152	но как	2	2
153	что даже	2	2
154	же самое	2	2
155	в этой	3	2
156	в виду	4	2
157	о чем	2	2
