N	2gram	Tiupa_Hudo_1	Analitik
1	в тексте	3	24
2	художественной реальности	3	20
3	тогда как	7	19
4	в этом	11	18
5	в частности	5	16
6	и в	14	16
7	не только	12	16
8	так и	13	15
9	как и	9	14
10	в том	12	12
11	своего рода	7	12
12	но и	5	12
13	и не	2	12
14	том что	16	12
15	в качестве	9	11
16	иначе говоря	2	11
17	как бы	7	10
18	при этом	12	10
19	а не	12	10
20	в пределах	3	9
21	лишь в	3	9
22	и даже	3	9
23	в этой	8	9
24	ничего не	8	9
25	отнюдь не	3	8
26	состоит в	2	8
27	уединенного сознания	4	8
28	в целом	2	8
29	не случайно	7	8
30	всего лишь	4	8
31	к тому	7	7
32	в себе	11	7
33	художественного целого	4	7
34	то что	8	7
35	особенно в	2	7
36	о том	12	7
37	а также	3	7
38	в самом	4	6
39	в мире	3	6
40	и на	3	6
41	говорить о	3	6
42	может быть	5	6
43	но в	5	6
44	и к	4	5
45	не менее	5	4
46	в своем	4	4
47	столь же	4	4
48	в конце	4	4
49	можно сказать	4	4
50	и смерти	3	4
51	у него	9	4
52	в ходе	3	4
53	уже не	7	4
54	не в	7	4
55	читателя в	6	4
56	но не	3	4
57	для него	10	4
58	в аспекте	5	4
59	как правило	6	4
60	по преимуществу	3	4
61	отношению к	8	4
62	во второй	5	4
63	как в	8	4
64	все это	2	4
65	как раз	4	4
66	по отношению	8	4
67	не может	7	4
68	на этом	3	4
69	и его	5	4
70	то же	9	4
71	уже говорилось	2	4
72	хотя и	2	4
73	точки зрения	5	4
74	только в	5	4
75	в себя	2	4
76	в рамках	2	3
77	казалось бы	7	3
78	никогда не	6	3
79	не столько	2	3
80	на фоне	2	3
81	прежде всего	11	3
82	или иного	2	3
83	при всей	2	3
84	что на	2	3
85	одной из	2	3
86	тем не	4	3
87	так что	2	3
88	было бы	6	3
89	в действительности	4	3
90	несмотря на	4	3
91	со своим	2	3
92	на себе	2	3
93	на его	2	3
94	в центре	4	3
95	в речи	2	3
96	из них	4	3
97	в первой	6	3
98	со стороны	3	3
99	в их	2	3
100	приводит к	3	3
101	только на	2	3
102	если бы	3	3
103	и читателя	4	3
104	этом отношении	3	3
105	не знает	2	3
106	именно в	7	3
107	жанровой стратегии	2	3
108	того или	2	3
109	можно было	5	3
110	а в	7	3
111	как мы	3	3
112	с ними	2	3
113	в результате	2	3
114	автора и	2	3
115	тем что	3	3
116	ключ к	2	3
117	как будто	4	3
118	романа в	3	3
119	едва ли	3	3
120	я и	2	3
121	в конечном	2	3
122	и все	4	3
123	в ответ	2	2
124	того что	4	2
125	речь идет	3	2
126	речевого строя	2	2
127	художественности в	2	2
128	художественного восприятия	2	2
129	по себе	2	2
130	на то	4	2
131	к своему	2	2
132	конечном счете	2	2
133	или напротив	2	2
134	к читателю	2	2
135	а то	2	2
136	превращается в	3	2
137	внутреннего я	2	2
138	же время	8	2
139	что в	6	2
140	мы узнаем	4	2
141	она не	4	2
142	еще не	7	2
143	такого рода	3	2
144	значительной степени	2	2
145	в своей	10	2
146	не о	2	2
147	литературоведческого анализа	2	2
148	еще в	3	2
149	для нее	2	2
150	даже в	3	2
151	один из	4	2
152	с ее	2	2
153	с той	2	2
154	себя в	4	2
155	картины мира	4	2
156	на него	2	2
157	что она	4	2
158	эстетический анализ	3	2
159	жизнью и	2	2
160	если говорить	3	2
161	по выражению	2	2
162	внимание на	2	2
163	той же	2	2
164	т е	4	2
165	в значительной	2	2
166	и он	5	2
167	не имеет	2	2
168	и для	3	2
169	с точки	3	2
170	на основе	2	2
171	художественного мира	2	2
172	в таком	3	2
173	не следует	2	2
174	никак не	2	2
175	между тем	8	2
176	личности и	2	2
177	он не	4	2
178	и м	2	2
179	с позиции	2	2
180	в то	8	2
181	в его	8	2
182	его в	3	2
183	представляют собой	2	2
184	в этих	5	2
185	с ним	4	2
186	о своей	2	2
