N	2gram	Nazirov_Tv_2	DiskursI
1	в себе	3	19
2	при этом	8	17
3	и в	20	16
4	может быть	8	16
5	как и	6	16
6	в этом	8	16
7	и не	9	15
8	а не	6	14
9	в частности	2	12
10	в отличие	2	12
11	отличие от	2	12
12	то есть	5	12
13	в мире	5	11
14	но и	8	11
15	тогда как	3	11
16	но в	4	11
17	том что	4	10
18	не только	13	10
19	своего рода	3	10
20	так и	6	9
21	не может	7	9
22	в том	8	8
23	как в	4	8
24	не менее	2	7
25	прежде всего	8	7
26	в нем	3	7
27	но не	5	7
28	отнюдь не	4	6
29	себя в	2	6
30	еще не	5	6
31	все же	5	6
32	в своей	6	6
33	то же	7	6
34	тем самым	4	6
35	в своих	3	6
36	ни к	2	5
37	а с	3	5
38	что в	7	5
39	с другой	2	5
40	же время	7	5
41	для него	3	5
42	героя в	4	5
43	то что	3	5
44	и на	5	5
45	в то	10	5
46	в одном	2	4
47	к этому	3	4
48	как бы	11	4
49	отношению к	3	4
50	по отношению	3	4
51	человека в	3	4
52	роль в	2	4
53	в рассказе	3	4
54	потому что	7	4
55	в основе	2	4
56	в этой	5	4
57	о том	5	4
58	не является	3	4
59	жизни в	3	3
60	могут быть	2	3
61	восходит к	2	3
62	это не	7	3
63	не столько	2	3
64	уже не	3	3
65	не в	4	3
66	соответствии с	4	3
67	например в	5	3
68	он не	3	3
69	в его	10	3
70	в русской	2	3
71	в котором	3	3
72	к жизни	2	3
73	из них	2	3
74	и ее	2	3
75	приводит к	2	3
76	не было	2	3
77	все эти	4	3
78	и наконец	2	3
79	и его	9	3
80	но это	5	3
81	только в	2	3
82	его в	3	3
83	в творчестве	5	3
84	одном из	2	3
85	место в	3	2
86	же как	3	2
87	по словам	2	2
88	никогда не	11	2
89	у пушкина	3	2
90	в целом	6	2
91	личности в	2	2
92	что на	2	2
93	что он	6	2
94	образ человека	2	2
95	в соответствии	4	2
96	такой же	2	2
97	х гг	2	2
98	по сути	3	2
99	но уже	3	2
100	наше время	2	2
101	вместе с	3	2
102	именно в	6	2
103	по преимуществу	2	2
104	там же	9	2
105	сводится к	2	2
106	все это	6	2
107	в принципе	4	2
108	другой стороны	2	2
109	романа и	3	2
110	а в	4	2
111	в наше	2	2
112	тут же	2	2
113	их в	2	2
114	и с	8	2
115	говорить о	2	2
116	и это	3	2
117	в записках	3	2
118	между тем	3	2
