N	2gram	Bakhtin_Fr_4	Morfolog
1	может быть	2	52
2	таким образом	20	20
3	не может	2	17
4	в этих	2	16
5	и в	29	13
6	в этом	11	13
7	и др	4	12
8	так как	7	12
9	перед нами	4	11
10	мы видим	3	11
11	связи с	2	11
12	прежде всего	8	9
13	так и	11	9
14	то же	10	9
15	и не	16	9
16	с другой	4	8
17	а затем	3	8
18	в результате	4	8
19	и этим	2	7
20	в качестве	3	7
21	все же	3	7
22	это не	5	6
23	и здесь	3	6
24	в том	7	6
25	но не	2	6
26	а также	2	6
27	во время	10	6
28	подобно тому	3	6
29	тому как	3	5
30	и другие	2	5
31	в образе	4	5
32	мы увидим	2	5
33	далеко не	5	5
34	как бы	8	5
35	один из	4	5
36	то что	4	5
37	или в	2	5
38	и как	3	4
39	на котором	2	4
40	вовсе не	9	4
41	на его	2	4
42	не только	10	4
43	как в	2	4
44	как мы	10	4
45	другой стороны	3	4
46	так же	7	4
47	как и	12	4
48	там где	3	4
49	два раза	2	4
50	хотя и	2	4
51	тем что	4	4
52	точки зрения	4	4
53	с точки	2	4
54	на этом	2	4
55	также и	4	4
56	его в	9	4
57	если в	2	4
58	в других	2	4
59	связана с	4	3
60	сам он	2	3
61	в нашем	4	3
62	том что	3	3
63	но это	4	3
64	что они	2	3
65	на нем	2	3
66	кроме того	2	3
67	того чтобы	3	3
68	в сущности	6	3
69	он не	3	3
70	ни в	2	3
71	но и	9	3
72	на самом	4	3
73	и по	5	3
74	к нему	3	3
75	и для	2	3
76	друг друга	2	3
77	мы можем	3	3
78	из них	6	3
79	в то	10	3
80	в один	2	3
81	если же	2	3
82	но в	12	3
83	в частности	3	2
84	его и	2	2
85	и за	3	2
86	к этому	2	2
87	что он	4	2
88	в различных	2	2
89	имеется в	3	2
90	животных и	3	2
91	и к	2	2
92	на первый	2	2
93	то в	3	2
94	и при	2	2
95	только в	2	2
96	в большинстве	6	2
97	есть и	4	2
98	то время	2	2
99	одной стороны	2	2
100	одному из	2	2
101	одной из	2	2
102	мы уже	10	2
103	играют в	4	2
104	себя в	2	2
105	но эти	2	2
106	или менее	3	2
107	с одной	2	2
108	все эти	9	2
109	того что	3	2
110	для того	3	2
111	формы эти	2	2
112	уже не	2	2
113	и его	8	2
114	о том	2	2
115	здесь не	3	2
116	но здесь	2	2
117	большинстве случаев	5	2
118	сказать что	5	2
119	более или	3	2
120	живой и	2	2
