N	3gram	Vinokur_Ku_3	Dialekti
1	и т д	8	23
2	с точки зрения	16	14
3	тем не менее	9	10
4	в таком случае	2	10
5	а не просто	2	6
6	не может быть	3	6
7	о том что	3	5
8	в самом деле	11	5
9	сам по себе	3	5
10	сама по себе	2	4
11	только тогда когда	4	3
12	в том что	8	3
13	с одной стороны	4	3
14	как раз и	2	3
15	той или иной	5	2
16	тот или иной	2	2
17	не могут быть	2	2
18	не говоря уже	2	2
19	того или иного	3	2
20	с другой стороны	3	2
21	и тем не	3	2
22	в зависимости от	7	2
23	и в этом	4	2
24	к тому же	2	2
25	говоря уже о	2	2
