N	2gram	Vinokur_St_3	VelikijI
1	и не	10	20
2	и в	25	16
3	то что	12	9
4	так как	3	9
5	еще не	2	8
6	что они	2	7
7	а не	5	7
8	как бы	6	5
9	но и	9	5
10	все это	8	5
11	того что	5	5
12	что все	3	4
13	что он	19	4
14	как и	4	4
15	что мы	3	4
16	в котором	5	4
17	так и	5	4
18	что не	2	4
19	потому что	5	4
20	в этом	24	4
21	в ней	4	4
22	говорить о	3	4
23	в его	12	4
24	с его	3	3
25	что в	19	3
26	по этому	3	3
27	в этих	11	3
28	в них	5	3
29	в конце	6	3
30	в жизни	4	3
31	ни в	5	3
32	в том	20	3
33	не в	6	3
34	но это	4	3
35	что я	3	3
36	к тому	2	3
37	во всех	2	3
38	никогда не	2	3
39	этих трех	2	3
40	в своей	4	3
41	тому что	3	3
42	не было	4	3
43	лишь в	4	3
44	и что	3	3
45	не имеет	2	3
46	и для	4	3
47	все эти	3	3
48	в чем	4	3
49	но в	5	3
50	с тем	4	2
51	это не	7	2
52	в духе	2	2
53	прежде всего	10	2
54	его к	2	2
55	том что	15	2
56	одна из	2	2
57	но не	2	2
58	в последнем	2	2
59	для него	3	2
60	и во	2	2
61	не только	12	2
62	нет и	2	2
63	один из	2	2
64	и т	8	2
65	и за	2	2
66	ее в	2	2
67	всего в	4	2
68	в форме	2	2
69	и тогда	2	2
70	т д	2	2
71	а с	2	2
72	и последний	2	2
73	тем что	19	2
74	мы не	2	2
75	уже не	3	2
76	не так	3	2
77	я думаю	2	2
78	его не	2	2
79	а в	6	2
80	между тем	6	2
81	могут быть	2	2
82	только в	6	2
83	и это	5	2
84	во всяком	4	2
85	не имел	2	2
