N	2gram	Voloshinov_1	Vladivir
1	и в	19	30
2	то что	8	20
3	в этом	16	20
4	в том	6	18
5	и не	26	18
6	и с	2	14
7	что он	2	13
8	в конце	5	13
9	том что	3	12
10	что в	4	12
11	не только	8	12
12	в его	6	11
13	а в	4	11
14	как мы	13	11
15	сказать что	4	11
16	и вообще	2	10
17	и даже	2	10
18	не было	3	10
19	не в	5	9
20	для него	9	9
21	кроме того	6	9
22	было бы	4	9
23	все же	8	9
24	не может	24	9
25	в то	3	9
26	связи с	11	8
27	в своем	2	8
28	но и	8	8
29	что же	4	8
30	в связи	7	8
31	но в	7	8
32	не менее	4	7
33	никогда не	2	7
34	точки зрения	34	7
35	и все	5	7
36	ни в	2	7
37	до конца	5	7
38	может быть	26	7
39	в эти	2	7
40	а не	7	7
41	к этому	5	6
42	прежде всего	13	6
43	и к	3	6
44	тем не	2	6
45	у нас	2	6
46	только в	9	6
47	всяком случае	2	6
48	во всяком	5	6
49	в себе	2	6
50	жизни и	2	6
51	и его	19	6
52	по себе	4	5
53	как и	12	5
54	в дальнейшем	3	5
55	то в	2	5
56	при этом	8	5
57	того же	6	5
58	тот же	4	5
59	в своей	3	5
60	в основном	6	5
61	как бы	15	5
62	в котором	3	5
63	другими словами	2	5
64	так и	11	5
65	все это	3	5
66	с этим	4	5
67	того что	3	5
68	в результате	9	5
69	все эти	7	5
70	так как	2	5
71	из этого	2	5
72	именно в	5	4
73	с этой	2	4
74	вовсе не	5	4
75	его в	3	4
76	можно сказать	3	4
77	мы знаем	5	4
78	конечно не	5	4
79	в ней	4	4
80	он не	3	4
81	в нем	10	4
82	не есть	3	4
83	то же	7	4
84	на этот	3	4
85	и он	2	4
86	так же	7	4
87	той же	2	4
88	и на	4	4
89	в начале	5	4
90	мы должны	3	4
91	о том	2	4
92	в которой	3	4
93	в отношении	4	3
94	хотя бы	5	3
95	из этих	2	3
96	же время	3	3
97	быть в	2	3
98	в свою	2	3
99	что и	2	3
100	и как	3	3
101	в данном	4	3
102	и для	11	3
103	с точки	20	3
104	во всех	7	3
105	как в	4	3
106	в отличие	5	3
107	таким образом	17	3
108	те же	5	3
109	здесь мы	4	3
110	должно быть	2	3
111	отличие от	5	3
112	в таком	2	3
113	или иначе	2	3
114	не столько	4	3
115	и это	3	3
116	нет ничего	3	3
117	конце концов	3	3
118	в области	3	3
119	первый план	2	2
120	и есть	3	2
121	жизни в	4	2
122	и от	3	2
123	же они	2	2
124	здесь в	3	2
125	в настоящее	6	2
126	к тому	2	2
127	на первый	2	2
128	друг друга	8	2
129	свою очередь	2	2
130	настоящее время	6	2
131	она не	2	2
132	мы уже	2	2
133	себе и	2	2
134	в самом	10	2
135	в сущности	3	2
136	в частности	2	2
137	же и	2	2
138	мы пока	2	2
139	и потому	5	2
140	для того	4	2
141	в виду	2	2
142	не имеет	3	2
143	отчет в	2	2
144	бытия в	7	2
145	и всего	2	2
146	как к	2	2
147	но все	3	2
148	в двух	2	2
149	того чтобы	5	2
150	что не	2	2
151	в чем	2	2
152	к этим	3	2
153	и прежде	2	2
154	в бытии	3	2
155	и ту	3	2
156	можно было	2	2
157	в своих	2	2
158	в работе	2	2
159	мысли и	4	2
160	и при	3	2
161	и во	2	2
162	к его	2	2
163	как он	2	2
164	к этой	2	2
165	ничего не	6	2
166	мы не	6	2
