N	2gram	Nazirov_Tv_2	FransuaR
1	и в	20	65
2	то есть	5	45
3	и др	3	24
4	как бы	11	22
5	и не	9	22
6	вовсе не	2	18
7	в том	8	16
8	в этом	8	15
9	но в	4	14
10	в нем	3	13
11	прежде всего	8	11
12	и на	5	11
13	и его	9	10
14	и потому	4	10
15	не только	13	10
16	но и	8	10
17	так и	6	10
18	все эти	4	10
19	в его	10	9
20	все это	6	9
21	в основе	2	8
22	в духе	4	8
23	в дальнейшем	4	8
24	и даже	5	8
25	его в	3	7
26	только в	2	7
27	никогда не	11	6
28	том что	4	6
29	все же	5	6
30	еще не	5	6
31	при этом	8	6
32	может быть	8	6
33	в году	16	6
34	и у	2	6
35	в литературе	2	6
36	так как	3	6
37	в одном	2	5
38	в частности	2	5
39	жизни в	3	5
40	превращается в	3	5
41	потому что	7	5
42	отличие от	2	5
43	рядом с	2	5
44	между людьми	2	5
45	для него	3	5
46	в своей	6	5
47	связь с	2	5
48	как в	4	5
49	как и	6	5
50	в своих	3	5
51	между тем	3	5
52	xix века	7	5
53	это уже	2	4
54	не в	4	4
55	в этой	5	4
56	в самом	3	4
57	из них	2	4
58	сих пор	3	4
59	до сих	3	4
60	в их	3	4
61	в отличие	2	4
62	и еще	2	4
63	так сказать	2	4
64	что в	7	3
65	не является	3	3
66	это не	7	3
67	что он	6	3
68	в ее	2	3
69	но это	5	3
70	самом деле	2	3
71	известной мере	2	3
72	то что	3	3
73	на землю	2	3
74	не может	7	3
75	в известной	4	3
76	и других	2	3
77	уже не	3	3
78	с другой	2	3
79	друг друга	2	3
80	в себе	3	3
81	в искусстве	2	3
82	и вообще	2	3
83	нет ничего	3	3
84	с ним	3	3
85	ничего не	4	3
86	и с	8	3
87	ни к	2	2
88	но не	5	2
89	во многом	2	2
90	начиная с	2	2
91	и без	2	2
92	или даже	2	2
93	и от	4	2
94	во многих	2	2
95	так например	3	2
96	а затем	3	2
97	в романе	15	2
98	мы видим	4	2
99	более того	2	2
100	и он	2	2
101	например в	5	2
102	на его	4	2
103	наряду с	7	2
104	хотя и	4	2
105	он не	3	2
106	в основном	6	2
107	это определение	3	2
108	нет и	2	2
109	в целом	6	2
110	в свой	2	2
111	на него	2	2
112	в процессе	2	2
113	к жизни	2	2
114	но у	4	2
115	приводит к	2	2
116	в свете	3	2
117	xviii века	2	2
118	особенно в	2	2
119	но эта	2	2
120	что не	3	2
121	и наконец	2	2
122	на этот	2	2
123	и по	2	2
124	одним из	3	2
125	роль в	2	2
126	в таком	3	2
127	этот вопрос	3	2
128	их в	2	2
129	на ранних	2	2
130	могут быть	2	2
131	о том	5	2
132	и это	3	2
133	в чем	4	2
134	это его	2	2
