N	2gram	Tiupa_Lite_2	RusskieA
1	и в	19	29
2	что в	4	22
3	том что	7	22
4	в том	10	22
5	как бы	2	18
6	состоит в	9	15
7	может быть	17	13
8	так как	3	13
9	как и	10	11
10	одна из	5	11
11	в этом	9	11
12	и с	3	10
13	не только	8	10
14	о том	2	9
15	а в	3	9
16	но и	10	8
17	данном случае	3	7
18	с тем	2	6
19	мы не	4	6
20	этом случае	2	6
21	же в	2	6
22	еще не	2	6
23	для того	2	6
24	для нас	2	6
25	вместе с	5	6
26	при этом	6	6
27	и на	6	6
28	в данном	3	6
29	потому что	2	5
30	то что	7	5
31	и что	2	5
32	но не	5	5
33	для этого	2	5
34	и т	2	5
35	к жизни	2	5
36	не может	9	5
37	но в	2	5
38	в них	2	4
39	а за	2	4
40	а затем	2	4
41	уже не	2	4
42	по существу	3	4
43	так что	4	4
44	не в	4	4
45	из них	2	4
46	же как	2	4
47	а также	2	4
48	то и	3	4
49	то же	12	4
50	у нас	5	4
51	а не	20	4
52	как это	2	4
53	на этом	2	3
54	тем что	4	3
55	в качестве	5	3
56	и других	4	3
57	в году	5	3
58	в ее	2	3
59	до конца	2	3
60	того что	5	3
61	было бы	2	3
62	во всех	3	3
63	а именно	3	3
64	друг друга	2	3
65	тому как	2	3
66	подобно тому	2	3
67	в этой	3	3
68	не менее	6	2
69	с этой	2	2
70	идут в	2	2
71	могут быть	2	2
72	никогда не	3	2
73	жизни в	4	2
74	с другой	8	2
75	не столько	3	2
76	прежде всего	4	2
77	как уже	2	2
78	что и	2	2
79	и как	3	2
80	одним из	3	2
81	очевидно что	2	2
82	одной стороны	6	2
83	тем не	2	2
84	в него	2	2
85	в виду	2	2
86	еще в	4	2
87	один из	4	2
88	не с	3	2
89	все же	2	2
90	не к	2	2
91	в руках	2	2
92	том чтобы	3	2
93	в их	3	2
94	по земле	3	2
95	тогда как	9	2
96	не было	2	2
97	с одной	7	2
98	из которых	2	2
99	и для	3	2
100	право на	3	2
101	а к	2	2
102	каждый из	4	2
103	так в	5	2
104	в своих	2	2
105	и то	3	2
106	с другим	2	2
107	одно из	2	2
108	на себя	2	2
109	под названием	2	2
110	и еще	2	2
111	в то	9	2
112	представляет собой	2	2
