N	2gram	Savitsky_E_1	Mirosoze
1	может быть	6	30
2	не только	18	29
3	и в	37	28
4	не может	9	28
5	но и	14	25
6	а не	2	25
7	он не	2	24
8	в этом	12	20
9	не в	5	16
10	потому что	3	16
11	в ней	4	15
12	в своей	8	15
13	никогда не	3	14
14	в самом	4	11
15	и не	14	11
16	что в	21	10
17	в своем	14	10
18	в мире	2	10
19	прежде всего	9	10
20	и все	2	10
21	было бы	8	10
22	и потому	5	10
23	с тем	3	9
24	в его	2	9
25	не есть	2	9
26	но не	5	8
27	в котором	2	8
28	того что	7	7
29	но в	14	7
30	к нему	2	7
31	в себе	9	7
32	он сам	2	6
33	должна быть	2	6
34	в том	11	6
35	в этой	2	6
36	и на	6	6
37	вместе с	2	6
38	только в	9	6
39	не могут	2	5
40	мира и	3	5
41	как и	7	5
42	то что	6	5
43	в этих	2	4
44	с этой	6	4
45	мог бы	2	4
46	не к	2	4
47	в их	11	4
48	и по	5	4
49	а в	2	4
50	в которых	3	4
51	точки зрения	23	4
52	и этот	2	4
53	в них	3	4
54	она не	2	4
55	к ней	4	4
56	что и	3	4
57	есть не	2	4
58	тем что	3	4
59	мира не	2	3
60	к тому	8	3
61	для нас	4	3
62	это значит	2	3
63	на своем	3	3
64	но если	5	3
65	только одно	2	3
66	этот процесс	2	3
67	заключает в	3	3
68	не имеет	4	3
69	с этим	2	3
70	и еще	2	3
71	так как	7	3
72	то есть	6	3
73	и с	2	3
74	для них	2	3
75	на путях	4	3
76	в ее	8	3
77	том что	6	3
78	когда он	3	3
79	бы и	3	3
80	духовной жизни	2	3
81	хотя бы	15	3
82	место в	3	2
83	по своему	7	2
84	вообще не	3	2
85	и от	3	2
86	вопрос о	4	2
87	в свою	3	2
88	для того	6	2
89	и мы	3	2
90	на этот	2	2
91	жизни и	2	2
92	долгое время	2	2
93	могут быть	2	2
94	всего в	2	2
95	тому чтобы	2	2
96	и что	2	2
97	также и	7	2
98	сказать что	4	2
99	по своей	2	2
100	в истории	2	2
101	как бы	6	2
102	о том	3	2
103	в россии	5	2
104	бы в	2	2
105	начало в	2	2
106	проблемы и	2	2
107	если бы	2	2
108	жизни в	3	2
109	и во	2	2
110	о россии	3	2
111	во власти	2	2
112	мы видим	2	2
113	в то	16	2
114	чем в	4	2
115	связано с	3	2
116	как будто	2	2
117	и к	3	2
118	по сравнению	2	2
119	как в	3	2
120	т е	9	2
121	в той	5	2
122	того чтобы	6	2
123	и как	2	2
124	и для	3	2
125	от этого	5	2
126	в каком	4	2
127	отношении к	15	2
