N	2gram	Propp_Morf_1	Russkaja
1	не может	14	22
2	и не	12	19
3	в том	6	17
4	в этом	14	17
5	и в	13	14
6	то что	8	13
7	таким образом	21	11
8	то же	7	11
9	точки зрения	2	11
10	но и	4	10
11	в то	3	10
12	том что	4	9
13	не только	4	9
14	с точки	2	9
15	может быть	52	9
16	во всяком	2	9
17	прежде всего	9	8
18	того чтобы	3	8
19	ни к	2	7
20	к тому	4	7
21	самом деле	4	7
22	самого себя	2	7
23	мы должны	3	7
24	о том	2	7
25	если бы	2	6
26	на самом	4	6
27	что он	4	6
28	и к	4	6
29	с тем	2	6
30	для того	2	6
31	всяком случае	2	6
32	если в	5	6
33	и для	2	6
34	в россии	2	6
35	себя и	2	5
36	между собой	4	5
37	хотя бы	4	5
38	он должен	2	5
39	вопрос о	7	5
40	на то	2	5
41	было бы	3	5
42	он не	3	5
43	во всех	4	5
44	по существу	12	5
45	из которых	3	5
46	а в	7	5
47	потому что	3	5
48	только в	2	5
49	между тем	5	5
50	но не	4	4
51	не могут	4	4
52	что в	8	4
53	то ни	3	4
54	как и	3	4
55	более или	2	4
56	как бы	3	4
57	все же	7	4
58	бы то	3	4
59	со стороны	3	4
60	от того	3	4
61	или менее	2	4
62	что же	2	4
63	приводит к	2	4
64	путь к	2	4
65	не в	3	4
66	можно было	2	4
67	в этой	2	4
68	его в	2	4
69	так как	16	4
70	в большинстве	3	3
71	главным образом	4	3
72	этом случае	8	3
73	и как	5	3
74	в другом	2	3
75	то в	3	3
76	что они	2	3
77	в качестве	5	3
78	еще не	3	3
79	несмотря на	4	3
80	ни одна	4	3
81	но если	7	3
82	но мы	3	3
83	то это	3	3
84	что и	7	3
85	и т	41	3
86	из них	3	3
87	вряд ли	2	3
88	того что	3	3
89	и по	2	3
90	друг друга	3	3
91	или в	4	3
92	тем что	4	3
93	в виде	2	3
94	говорить о	3	3
95	связи с	10	3
96	одна из	4	3
97	а с	2	2
98	этого не	2	2
99	одному из	3	2
100	и есть	2	2
101	в частности	2	2
102	его и	2	2
103	с этим	11	2
104	этот вопрос	2	2
105	состоит в	2	2
106	ясно что	5	2
107	что действительно	2	2
108	уже не	2	2
109	но это	6	2
110	есть и	4	2
111	настоящее время	3	2
112	она не	2	2
113	но для	2	2
114	к чему	3	2
115	в настоящее	3	2
116	если же	5	2
117	и тем	2	2
118	благодаря этому	3	2
119	для нас	2	2
120	в некоторых	3	2
121	быть и	2	2
122	даже не	3	2
123	тому что	4	2
124	целый ряд	3	2
125	по отношению	4	2
126	тогда как	2	2
127	все эти	2	2
128	и что	2	2
129	а не	11	2
130	что такое	3	2
131	к нему	3	2
132	так же	3	2
133	в других	3	2
134	в результате	7	2
135	мы можем	2	2
136	в начале	3	2
137	во время	6	2
138	если они	2	2
139	в таких	2	2
140	как будто	2	2
141	в этих	13	2
142	большинстве случаев	3	2
143	но в	2	2
