N	2gram	Propp_Russ_1	Problemy
1	и в	36	46
2	то есть	3	40
3	и не	6	27
4	может быть	8	23
5	как бы	5	19
6	не может	4	19
7	в нем	2	17
8	в этом	12	16
9	не только	22	14
10	слова в	3	13
11	но и	16	12
12	как и	10	12
13	как мы	10	12
14	и на	10	11
15	точки зрения	3	11
16	в одном	3	11
17	а не	2	11
18	в том	17	9
19	в большинстве	2	9
20	и к	3	9
21	в его	2	9
22	с точки	3	9
23	большинстве случаев	2	8
24	или в	2	8
25	и с	2	7
26	еще не	4	7
27	в каждом	2	6
28	но это	4	6
29	хотя и	2	6
30	но в	2	6
31	мы увидим	8	6
32	то же	3	6
33	все это	6	6
34	только в	4	6
35	это не	10	5
36	при этом	6	5
37	так как	15	5
38	в жизни	2	5
39	у него	2	5
40	к другому	2	5
41	о том	8	5
42	во всех	4	5
43	что в	19	4
44	в этих	3	4
45	до конца	2	4
46	например в	2	4
47	к ним	3	4
48	в их	4	4
49	таким образом	6	4
50	все эти	2	4
51	и других	7	4
52	потому что	10	4
53	и здесь	2	4
54	мы не	6	4
55	мы можем	2	4
56	как в	5	4
57	том что	19	4
58	но не	2	4
59	том же	2	4
60	все же	5	4
61	то что	6	4
62	своего рода	3	4
63	но эти	3	4
64	так и	7	4
65	приводит к	3	4
66	уже не	6	4
67	на себя	2	4
68	и другие	13	3
69	себя и	2	3
70	из этих	4	3
71	такой же	2	3
72	в своем	3	3
73	на этом	3	3
74	и для	2	3
75	и их	4	3
76	и до	2	3
77	так же	3	3
78	как он	2	3
79	их в	3	3
80	мы имеем	4	3
81	чем у	2	3
82	с собой	4	3
83	в различных	2	3
84	по существу	4	3
85	и что	4	3
86	она не	2	3
87	что и	7	3
88	только на	3	3
89	для наших	2	3
90	между двумя	2	3
91	тем что	4	3
92	далеко не	3	3
93	не менее	3	2
94	для этого	2	2
95	на все	2	2
96	его к	2	2
97	от них	3	2
98	к тому	4	2
99	для нас	6	2
100	его как	2	2
101	так что	2	2
102	и как	2	2
103	но все	3	2
104	если в	3	2
105	к слову	2	2
106	но она	2	2
107	к жизни	3	2
108	в других	11	2
109	не было	2	2
110	и по	8	2
111	а в	9	2
112	в которых	5	2
113	с ним	2	2
114	между тем	7	2
115	наших целей	2	2
116	с этим	2	2
117	у нас	8	2
118	одна из	4	2
119	об этом	9	2
120	к ней	2	2
121	этого слова	3	2
122	и пр	2	2
123	когда он	2	2
124	вместе с	10	2
125	в последний	2	2
126	так в	4	2
127	на этот	3	2
128	ничего не	3	2
129	этот вопрос	2	2
130	могут быть	2	2
131	там где	2	2
132	того как	5	2
