N	2gram	Bakhtin_sl_1	RusskieA
1	и в	41	36
2	не только	16	22
3	том что	2	19
4	в том	3	17
5	но и	16	16
6	так как	3	15
7	в этом	12	12
8	в других	3	11
9	это не	6	10
10	как мы	8	10
11	как и	4	10
12	и т	28	10
13	и на	14	10
14	потому что	2	10
15	т д	5	9
16	а в	6	9
17	у нас	2	8
18	из них	3	8
19	может быть	14	8
20	один из	4	8
21	и по	2	8
22	о том	3	8
23	что они	2	7
24	так и	11	7
25	и других	3	7
26	между тем	2	7
27	и не	16	6
28	для нас	2	6
29	при этом	6	6
30	в них	6	6
31	уже не	2	6
32	таким образом	9	6
33	мы не	2	6
34	все это	5	6
35	в виде	2	6
36	этом случае	2	5
37	все же	7	5
38	как бы	12	5
39	и у	2	5
40	с ними	3	5
41	как в	8	5
42	тому что	2	4
43	из этих	3	4
44	к этому	2	4
45	к тому	3	4
46	по существу	3	4
47	одна из	2	4
48	еще не	4	4
49	связи с	2	4
50	и др	14	4
51	во всех	17	4
52	в их	4	4
53	так в	2	4
54	не может	14	4
55	входит в	4	4
56	а с	2	4
57	того что	3	4
58	а иногда	3	4
59	только в	6	4
60	слова в	8	3
61	для них	2	3
62	связанные с	3	3
63	в этих	2	3
64	в качестве	3	3
65	в своем	3	3
66	в одном	2	3
67	в свою	3	3
68	и к	5	3
69	на этом	2	3
70	только на	2	3
71	в основном	3	3
72	а также	2	3
73	не с	2	3
74	но эти	3	3
75	в разных	3	3
76	то же	14	3
77	с точки	8	3
78	так же	2	3
79	и те	2	3
80	ничего не	4	3
81	точки зрения	16	3
82	то есть	26	3
83	далеко не	5	3
84	других случаях	2	3
85	не было	3	2
86	всех этих	4	2
87	они были	2	2
88	в частности	2	2
89	могут быть	19	2
90	его и	3	2
91	между собой	2	2
92	с этим	3	2
93	и потому	4	2
94	в каждом	4	2
95	на все	2	2
96	в нем	30	2
97	у него	3	2
98	интерес к	2	2
99	так что	2	2
100	мы видим	2	2
101	и непосредственно	5	2
102	свою очередь	2	2
103	но не	2	2
104	тем и	2	2
105	быть и	4	2
106	в большинстве	10	2
107	до конца	12	2
108	она не	3	2
109	не были	3	2
110	например в	2	2
111	том же	4	2
112	в ней	4	2
113	в его	13	2
114	и с	4	2
115	и другим	2	2
116	в целом	2	2
117	его как	2	2
118	с ней	2	2
119	не на	5	2
120	в особенности	8	2
121	все эти	9	2
122	на самом	2	2
123	а не	15	2
124	и для	4	2
125	с ним	7	2
126	или в	8	2
127	хотя и	2	2
128	и здесь	3	2
129	но в	8	2
130	там где	4	2
131	большинстве случаев	6	2
132	иногда в	2	2
