N	2gram	Losev_Dial_4	Sovremen
1	не может	11	17
2	точки зрения	14	12
3	может быть	17	12
4	таким образом	5	11
5	мы не	9	9
6	в этом	11	7
7	и в	15	7
8	и не	30	6
9	как и	7	6
10	в результате	6	6
11	мы можем	3	6
12	ничего не	17	6
13	что же	2	5
14	прежде всего	11	5
15	все эти	3	5
16	и наконец	3	5
17	с точки	9	5
18	как бы	14	4
19	нет и	2	4
20	если мы	5	4
21	жизни и	4	4
22	вместе с	2	4
23	это не	12	4
24	вопрос о	2	4
25	не только	8	4
26	же это	5	4
27	в том	11	4
28	из них	2	4
29	мы должны	4	4
30	так как	14	4
31	но мы	2	3
32	все же	2	3
33	отнюдь не	4	3
34	при таком	2	3
35	все это	9	3
36	то же	9	3
37	ясно что	11	3
38	мы получаем	2	3
39	в нем	5	3
40	а не	18	3
41	у нас	3	3
42	не в	8	3
43	в этой	4	3
44	еще не	4	3
45	при этом	2	3
46	было бы	9	3
47	и мы	7	3
48	в одном	4	3
49	и все	11	3
50	в себе	8	3
51	в области	3	3
52	что она	5	3
53	но в	3	3
54	и потому	3	3
55	совершенно не	3	2
56	не могут	2	2
57	что это	13	2
58	не менее	2	2
59	и есть	19	2
60	в виде	3	2
61	и именно	2	2
62	можно назвать	3	2
63	быть и	3	2
64	то и	2	2
65	и во	2	2
66	из этих	2	2
67	что все	4	2
68	говорить об	2	2
69	уже не	9	2
70	и будет	2	2
71	в свою	3	2
72	может дать	2	2
73	и что	9	2
74	и пр	9	2
75	из которых	3	2
76	что такое	5	2
77	и даже	6	2
78	и по	2	2
79	тем не	2	2
80	той же	5	2
81	то ни	4	2
82	только так	4	2
83	мы видим	4	2
84	но все	2	2
85	во всяком	2	2
86	свою очередь	2	2
87	на этом	3	2
88	могут быть	3	2
89	с этим	3	2
90	что в	7	2
91	не дает	2	2
92	говорить о	11	2
93	в один	3	2
94	в самом	2	2
95	ни одна	2	2
96	в которой	2	2
97	отличие от	2	2
98	в его	4	2
