N	2gram	Tiupa_Narr_2	formyVre
1	и в	13	50
2	то есть	9	33
3	в этом	13	25
4	в нем	5	24
5	и его	3	16
6	в литературе	4	16
7	прежде всего	6	15
8	и не	14	14
9	вовсе не	2	13
10	как раз	3	13
11	в его	6	13
12	так и	9	12
13	может быть	10	11
14	таким образом	5	11
15	то же	4	11
16	времени и	4	10
17	но в	6	10
18	в конце	4	9
19	в том	14	9
20	же время	3	9
21	все эти	3	9
22	в других	2	9
23	в то	5	9
24	не только	26	9
25	с его	3	9
26	роль в	2	9
27	ничего не	6	9
28	в самом	2	8
29	его жизни	2	8
30	и т	2	8
31	но и	15	8
32	жизни в	6	8
33	как и	4	8
34	жизни и	4	8
35	т п	2	8
36	характер и	3	7
37	для себя	3	7
38	героя и	2	7
39	так сказать	3	7
40	все же	6	6
41	в частности	11	6
42	это не	3	6
43	не может	8	6
44	так же	2	6
45	в результате	2	6
46	у него	6	6
47	и все	4	6
48	в жизни	6	6
49	и того	3	6
50	то что	8	6
51	в ее	4	6
52	как в	5	6
53	что в	4	5
54	не в	8	5
55	точки зрения	5	5
56	если бы	4	5
57	отнюдь не	4	5
58	но не	3	5
59	еще не	2	5
60	он не	5	5
61	не могло	2	5
62	отношению к	5	5
63	того чтобы	3	5
64	и у	4	5
65	в своем	6	4
66	в котором	5	4
67	не имеет	2	4
68	для других	3	4
69	потому что	2	4
70	в ней	2	4
71	к себе	7	4
72	между собой	3	4
73	и пространства	2	4
74	раз в	2	4
75	в процессе	2	4
76	и т.п	6	4
77	себе самому	5	4
78	в той	5	4
79	том что	13	4
80	и для	3	4
81	только в	11	4
82	здесь не	2	4
83	человек в	3	3
84	вследствие этого	2	3
85	к тому	9	3
86	да и	3	3
87	при этом	14	3
88	имеет место	2	3
89	себе и	2	3
90	хотя и	5	3
91	и уже	4	3
92	мира в	4	3
93	один из	3	3
94	со всеми	2	3
95	в форме	5	3
96	по отношению	5	3
97	этом отношении	3	3
98	с одной	5	3
99	именно в	2	3
100	они не	2	3
101	а в	9	3
102	сказать что	3	3
103	одно из	2	3
104	в начале	2	3
105	а как	3	3
106	на фоне	2	3
107	же в	4	3
108	в качестве	14	3
109	со своей	2	3
110	только к	3	3
111	что и	2	3
112	только на	2	3
113	а не	17	3
114	своей собственной	2	3
115	мы не	2	3
116	в таком	3	3
117	в себе	8	3
118	все его	4	3
119	место в	5	2
120	же как	2	2
121	никогда не	6	2
122	в течение	2	2
123	в нашем	2	2
124	точку зрения	3	2
125	с другой	5	2
126	не обязательно	2	2
127	или иной	3	2
128	для нас	2	2
129	тому же	4	2
130	в свою	2	2
131	для него	4	2
132	одной стороны	5	2
133	и иные	2	2
134	но для	2	2
135	в целом	3	2
136	не к	4	2
137	собственной жизни	2	2
138	внутренняя жизнь	2	2
139	как по	3	2
140	существенную роль	3	2
141	к своему	2	2
142	те же	2	2
143	того что	6	2
144	и даже	3	2
145	и по	3	2
146	принадлежит не	2	2
147	самим собой	3	2
148	но он	2	2
149	той или	3	2
150	все то	2	2
151	как он	2	2
152	с ним	4	2
153	встречи с	2	2
154	не является	4	2
155	к другому	2	2
156	и к	6	2
157	об этом	4	2
158	началом и	2	2
159	в соответствии	3	2
160	в чем	2	2
161	одна из	3	2
162	было бы	2	2
163	не являются	2	2
164	к ней	3	2
165	а также	6	2
166	оно не	2	2
167	в своей	4	2
168	как бы	6	2
169	в строгом	2	2
170	в центре	2	2
171	в отличие	5	2
172	жизни на	2	2
173	уже не	4	2
174	с точки	2	2
175	хотя бы	2	2
176	той же	2	2
177	в данном	10	2
178	вступает в	2	2
179	можно назвать	2	2
180	соответствии с	3	2
181	далеко не	5	2
182	отличие от	5	2
