N	2gram	Propp_Russ_1	FransuaR
1	и в	36	41
2	то есть	3	24
3	во всех	4	17
4	таким образом	6	17
5	в нем	2	16
6	и с	2	16
7	но и	16	13
8	как мы	10	12
9	в этом	12	12
10	все это	6	11
11	все эти	2	11
12	не только	22	10
13	и др	4	10
14	так как	15	10
15	то что	6	10
16	во время	14	9
17	и на	10	9
18	о том	8	9
19	но в	2	8
20	у него	2	7
21	в них	6	7
22	том что	19	7
23	как бы	5	7
24	и до	2	7
25	в особенности	2	7
26	как и	10	7
27	что в	19	7
28	в его	2	7
29	связаны с	3	7
30	в образе	2	6
31	в году	2	6
32	мы видим	2	6
33	например в	2	6
34	один из	8	6
35	вместе с	10	6
36	или в	2	6
37	то же	3	5
38	в одном	3	5
39	так же	3	5
40	а также	3	5
41	из них	8	5
42	так и	7	5
43	в своем	3	5
44	большинстве случаев	2	5
45	и что	4	5
46	еще в	4	5
47	тем что	4	5
48	там где	2	5
49	что это	3	5
50	та же	2	4
51	но они	3	4
52	он был	2	4
53	у нас	8	4
54	и как	2	4
55	в большинстве	2	4
56	в ней	2	4
57	все же	5	4
58	не может	4	4
59	как в	5	4
60	а в	9	4
61	с ним	2	4
62	мы увидим	8	3
63	до того	2	3
64	с этим	2	3
65	на все	2	3
66	нас не	2	3
67	но это	4	3
68	они и	2	3
69	не были	2	3
70	они были	2	3
71	в целях	3	3
72	и их	4	3
73	и для	2	3
74	при этом	6	3
75	и не	6	3
76	того что	4	3
77	только в	4	3
78	потому что	10	3
79	всех этих	2	2
80	в частности	2	2
81	в этих	3	2
82	для этого	2	2
83	представление о	3	2
84	что именно	2	2
85	и нового	2	2
86	для нас	6	2
87	в том	17	2
88	так что	2	2
89	в дальнейшем	2	2
90	связи с	4	2
91	что они	7	2
92	на этом	3	2
93	но не	2	2
94	как известно	2	2
95	до конца	2	2
96	может быть	8	2
97	хотя и	2	2
98	и потому	2	2
99	в эти	4	2
100	в другие	8	2
101	не будем	3	2
102	природы и	2	2
103	не на	2	2
104	и другие	13	2
105	в народной	2	2
106	как это	8	2
107	а не	2	2
108	и у	5	2
109	с точки	3	2
110	и те	3	2
111	мы не	6	2
112	как они	2	2
113	их в	3	2
114	между тем	7	2
115	точки зрения	3	2
116	из этих	4	2
117	начиная с	3	2
118	как он	2	2
119	на весь	2	2
120	в области	3	2
