N	2gram	Voloshinov_1	Sotsiolo
1	истории литературы	2	10
2	все это	3	7
3	в том	6	5
4	в этом	4	5
5	метод в	2	4
6	социологический метод	2	4
7	не в	4	3
8	как же	2	3
9	для нас	7	3
10	в его	2	3
11	и в	12	3
12	не только	4	3
13	как только	2	2
14	по отношению	11	2
15	еще не	3	2
16	только в	6	2
17	таким образом	12	2
18	том что	5	2
19	то же	5	2
20	отношению к	11	2
21	то что	5	2
22	может быть	14	2
23	за пределы	4	2
24	литературы и	4	2
25	им не	2	2
26	и что	2	2
27	но и	3	2
28	по природе	2	2
29	как бы	13	2
30	должна быть	5	2
31	что в	2	2
