N	2gram	Nazirov_Tr_1	Istorich
1	что он	6	24
2	не только	8	18
3	может быть	7	17
4	никогда не	2	15
5	и в	18	15
6	но и	4	14
7	так же	4	13
8	что в	4	12
9	то что	4	12
10	об этом	4	11
11	и не	7	11
12	в этом	9	11
13	его в	2	10
14	то же	5	10
15	с тем	2	9
16	еще не	4	9
17	все же	5	9
18	и здесь	2	9
19	потому что	2	9
20	один из	3	8
21	он не	2	8
22	том что	4	7
23	в нем	4	7
24	не в	2	7
25	ничего не	2	7
26	точно так	2	6
27	так что	2	6
28	что это	5	6
29	в его	3	6
30	как бы	7	6
31	что и	2	6
32	и что	4	6
33	в том	2	6
34	но в	6	6
35	прежде всего	4	5
36	в одном	2	5
37	к тому	2	5
38	но все	2	5
39	как в	3	5
40	так и	5	5
41	что она	2	5
42	не может	5	5
43	к нему	3	5
44	но они	2	4
45	вопрос о	2	4
46	у него	6	4
47	но это	4	4
48	в этой	4	4
49	при этом	3	4
50	что эти	2	4
51	и с	7	4
52	тем что	2	4
53	и на	7	4
54	в себе	4	4
55	все эти	3	4
56	не мог	2	3
57	и его	6	3
58	он был	2	3
59	как это	3	3
60	говорит что	2	3
61	мог бы	3	3
62	о том	2	3
63	ребенка в	2	3
64	я буду	2	3
65	все это	4	3
66	что этот	2	3
67	он и	2	3
68	как будто	3	3
69	и это	2	3
70	уже в	3	2
71	я не	4	2
72	со мной	2	2
73	перед нами	2	2
74	это не	5	2
75	о его	2	2
76	ни в	2	2
77	в основном	3	2
78	как и	5	2
79	одна из	2	2
80	в глаза	2	2
81	с ее	3	2
82	ее за	2	2
83	не просто	2	2
84	тут же	2	2
85	тем самым	3	2
86	ребенка и	2	2
87	и то	2	2
88	в русском	2	2
89	и ее	2	2
