N	2gram	Vinokur_Ku_3	Dialekti
1	не есть	3	40
2	и не	10	30
3	по себе	6	25
4	т е	32	25
5	и т	54	21
6	т д	8	19
7	и в	23	18
8	ничего не	6	17
9	может быть	14	17
10	точки зрения	23	17
11	и есть	5	16
12	ни в	3	15
13	не имеет	3	15
14	а не	11	14
15	потому что	12	14
16	что в	13	13
17	то что	4	13
18	не только	17	13
19	если бы	8	12
20	было бы	16	12
21	и что	7	12
22	с точки	16	12
23	в этом	16	12
24	не может	6	12
25	что это	3	11
26	что он	6	11
27	как бы	5	11
28	учение о	2	11
29	все это	2	11
30	так как	9	11
31	прежде всего	9	10
32	то же	6	10
33	что такое	4	10
34	сказать что	7	10
35	отнюдь не	3	9
36	это не	3	9
37	в том	22	9
38	так и	6	9
39	том что	11	9
40	ясно что	4	8
41	сама по	2	8
42	но это	5	8
43	совершенно не	5	8
44	в каком	3	8
45	не просто	2	7
46	вовсе не	5	7
47	и как	2	7
48	то в	3	7
49	но и	3	7
50	что она	5	7
51	мы находим	3	7
52	что не	4	7
53	также и	5	7
54	той или	5	7
55	с другой	7	6
56	можно сказать	2	6
57	хотя бы	9	6
58	она не	3	6
59	никак не	2	6
60	не было	4	6
61	и вот	3	6
62	не в	5	6
63	в то	3	6
64	ни на	2	6
65	в чем	5	6
66	не то	2	6
67	но в	2	6
68	сам по	3	6
69	я не	5	5
70	в этих	2	5
71	в своем	4	5
72	как же	3	5
73	в дальнейшем	2	5
74	и пр	3	5
75	она есть	2	5
76	но если	3	5
77	не с	2	5
78	все же	5	5
79	отношение к	3	5
80	в отношении	3	5
81	в особенности	2	5
82	а в	5	5
83	можно было	11	5
84	и с	3	5
85	говорить о	6	5
86	мы должны	3	5
87	в виду	8	5
88	и более	3	4
89	и об	2	4
90	к тому	3	4
91	во всяком	2	4
92	как таковой	2	4
93	это и	3	4
94	но не	3	4
95	хотя и	5	4
96	не о	2	4
97	в котором	2	4
98	то это	3	4
99	только то	3	4
100	так же	2	4
101	другой стороны	3	4
102	как раз	4	4
103	смысл и	2	4
104	мы говорим	4	4
105	как мы	5	4
106	о том	6	4
107	как он	2	4
108	как это	7	4
109	для меня	2	4
110	а лишь	3	3
111	может иметь	3	3
112	тому что	4	3
113	точку зрения	2	3
114	и значит	2	3
115	должна быть	3	3
116	есть не	3	3
117	или иной	7	3
118	же это	2	3
119	что и	6	3
120	точек зрения	2	3
121	чтобы понять	2	3
122	что они	2	3
123	более или	2	3
124	конечно не	2	3
125	и о	4	3
126	или иное	2	3
127	он не	3	3
128	в его	11	3
129	не значит	5	3
130	один из	4	3
131	или менее	2	3
132	что же	5	3
133	мысли и	2	3
134	в их	6	3
135	что одна	2	3
136	в самом	13	3
137	еще и	2	3
138	еще более	2	3
139	но все	2	3
140	на самом	3	3
141	самом деле	14	3
142	только что	2	3
143	должно быть	7	3
144	то или	2	3
145	в данном	7	3
146	очень много	2	3
147	в ней	3	3
148	могут быть	6	3
149	только в	6	3
150	на этом	2	2
151	не менее	12	2
152	говорить что	3	2
153	того что	11	2
154	бы и	3	2
155	именно в	3	2
156	в частности	2	2
157	не знает	2	2
158	были бы	4	2
159	в качестве	2	2
160	как в	4	2
161	и говорить	2	2
162	с этой	3	2
163	не как	2	2
164	эти последние	2	2
165	точка зрения	4	2
166	из этих	5	2
167	раз и	2	2
168	с другими	2	2
169	стать на	3	2
170	вопрос о	11	2
171	быть в	2	2
172	при чем	5	2
173	не понимают	2	2
174	как и	5	2
175	и при	2	2
176	что именно	3	2
177	эти два	2	2
178	такой же	2	2
179	есть конечно	2	2
180	на точку	2	2
181	что если	2	2
182	как о	3	2
183	тому же	3	2
184	до сих	8	2
185	только тогда	4	2
186	еще не	9	2
187	одной стороны	4	2
188	только как	4	2
189	для того	12	2
190	о чем	2	2
191	в корне	2	2
192	в первую	3	2
193	убедиться что	4	2
194	относится к	2	2
195	мог бы	2	2
196	тем более	5	2
197	в своей	4	2
198	которое в	2	2
199	дело не	2	2
200	сих пор	8	2
201	для этого	6	2
202	как например	2	2
203	т п	41	2
204	а с	3	2
205	с одной	4	2
206	все эти	7	2
207	мы имеем	2	2
208	из того	2	2
209	если мы	7	2
210	чтобы не	2	2
211	уже не	8	2
212	можно говорить	10	2
213	отличается от	2	2
214	то он	3	2
215	учения о	4	2
216	то мы	3	2
217	может оказаться	2	2
218	то и	2	2
219	в которых	3	2
220	но как	3	2
221	я в	3	2
222	что как	3	2
223	то не	2	2
224	это конечно	2	2
225	если это	2	2
226	если и	2	2
