N	2gram	Nazirov_Vr_1	Myshleni
1	точки зрения	2	26
2	таким образом	2	26
3	в том	3	24
4	и в	8	23
5	том что	3	21
6	с точки	2	18
7	то что	7	17
8	в этом	8	17
9	так же	4	16
10	не только	9	16
11	что в	7	14
12	может быть	4	14
13	но и	7	14
14	как и	6	14
15	в его	3	14
16	не может	2	12
17	как бы	4	11
18	и не	5	9
19	между тем	5	9
20	и с	6	9
21	вместе с	2	9
22	то же	5	8
23	в этой	2	7
24	в то	5	7
25	что он	4	7
26	и ее	2	7
27	столь же	2	6
28	же как	2	6
29	все это	4	6
30	о том	4	6
31	и его	3	6
32	тем что	3	6
33	в себе	2	6
34	и как	3	5
35	на то	3	5
36	в своих	4	5
37	и все	7	5
38	но в	6	5
39	и что	8	5
40	он не	3	5
41	тем более	2	5
42	в свою	2	4
43	при этом	4	4
44	в котором	6	4
45	целый ряд	4	4
46	их в	2	4
47	с его	3	4
48	к этому	3	4
49	в чем	3	4
50	в своей	2	4
51	как раз	2	4
52	а с	2	4
53	уже в	4	3
54	я не	3	3
55	в своем	3	3
56	об этой	2	3
57	отношения к	2	3
58	об этом	5	3
59	все же	6	3
60	и то	2	3
61	связи с	3	3
62	и это	2	3
63	ответ на	2	3
64	никогда не	2	2
65	что у	3	2
66	в конце	3	2
67	же время	5	2
68	для него	2	2
69	о чем	2	2
70	несмотря на	4	2
71	начиная с	2	2
72	и даже	6	2
73	а в	2	2
74	человека с	2	2
75	в известном	2	2
76	речь идет	3	2
77	в них	2	2
78	на первый	2	2
79	том же	2	2
80	уже не	2	2
81	его на	2	2
