N	2gram	Trubetskoy_1	Problema
1	то есть	4	46
2	в его	5	43
3	и не	8	42
4	и в	26	38
5	и проч	2	28
6	не может	4	27
7	может быть	10	26
8	как бы	12	22
9	отношению к	3	19
10	и с	10	17
11	в нем	4	15
12	в этом	15	15
13	прежде всего	2	13
14	только в	4	13
15	но не	8	12
16	во всех	2	11
17	и для	5	11
18	в области	9	11
19	к нему	7	10
20	отношение к	5	10
21	таким образом	22	10
22	но и	9	9
23	не имеет	5	9
24	не только	10	9
25	в том	11	8
26	и как	3	8
27	точки зрения	13	8
28	то что	7	8
29	что в	9	7
30	с другой	8	7
31	не в	2	7
32	в самом	4	7
33	между тем	2	7
34	еще не	2	7
35	не всегда	2	6
36	не к	2	6
37	можно только	2	6
38	и наконец	2	6
39	а в	4	6
40	все же	6	6
41	с точки	6	6
42	мы можем	2	6
43	то же	4	5
44	в своем	3	5
45	при этом	3	5
46	никогда не	5	5
47	все эти	6	5
48	далеко не	4	5
49	в них	2	5
50	конечно не	2	5
51	и о	3	5
52	так и	6	5
53	а не	5	5
54	не менее	3	4
55	в виду	2	4
56	и только	4	4
57	в других	3	4
58	сказать что	2	4
59	в то	4	4
60	о том	6	4
61	и потому	6	4
62	к которому	2	4
63	но в	7	4
64	перестает быть	2	4
65	не с	2	4
66	относится к	2	4
67	хотя бы	3	4
68	в себе	6	4
69	то ни	2	3
70	и от	4	3
71	и иной	2	3
72	тем не	3	3
73	же время	2	3
74	одной стороны	7	3
75	несмотря на	6	3
76	все это	6	3
77	с одной	7	3
78	и даже	3	3
79	и на	2	3
80	ни было	2	3
81	если бы	3	3
82	и все	2	3
83	ясно что	3	3
84	и к	5	3
85	том что	7	3
86	бы то	2	3
87	все что	2	3
88	со всеми	2	3
89	одной из	5	3
90	он не	4	3
91	связь с	2	3
92	приводит к	2	3
93	но с	3	3
94	культуры и	3	3
95	в мире	5	3
96	в таком	3	3
97	с другими	4	3
98	и это	2	3
99	творца и	2	3
100	или иное	2	2
101	не могут	2	2
102	и другие	3	2
103	в этих	4	2
104	и мир	2	2
105	что все	4	2
106	на то	2	2
107	или иной	2	2
108	от них	2	2
109	можно сказать	3	2
110	что оно	4	2
111	в значительной	3	2
112	в свою	2	2
113	случае не	3	2
114	что это	3	2
115	и у	8	2
116	той или	2	2
117	не вполне	3	2
118	в котором	4	2
119	отличается от	2	2
120	в связи	3	2
121	особенно в	2	2
122	не было	2	2
123	этом отношении	2	2
124	в самой	2	2
125	лишь в	5	2
126	и что	4	2
127	того что	3	2
128	его не	2	2
129	и те	3	2
130	и здесь	2	2
131	к его	2	2
132	в начале	2	2
133	о котором	2	2
134	мы должны	6	2
135	же самое	2	2
136	в россии	2	2
137	мы имеем	2	2
138	с его	2	2
139	к этому	3	2
140	что он	4	2
141	по существу	2	2
142	и при	3	2
143	связи с	9	2
144	что и	6	2
145	того чтобы	5	2
146	для того	5	2
147	из которых	4	2
148	то или	2	2
149	в виде	4	2
