N	2gram	Propp_Russ_2	Otkroven
1	и в	29	19
2	но и	8	13
3	в этом	11	12
4	а не	4	11
5	не в	4	11
6	может быть	13	11
7	не только	10	11
8	и все	4	10
9	вопрос о	4	10
10	никогда не	2	9
11	не было	2	9
12	потому что	5	9
13	прежде всего	2	9
14	но он	3	7
15	до конца	3	7
16	все это	10	6
17	как и	11	6
18	то что	5	5
19	а в	9	5
20	в том	22	5
21	в этой	3	5
22	на земле	5	4
23	т е	24	4
24	того чтобы	6	4
25	все в	2	4
26	все эти	3	4
27	не может	5	4
28	что в	22	4
29	к нему	4	3
30	в этих	3	3
31	это не	5	3
32	того что	3	3
33	для того	6	3
34	в своих	2	3
35	еще не	6	3
36	и от	3	3
37	могут быть	2	3
38	и ее	2	3
39	было бы	3	3
40	о том	9	3
41	как бы	18	3
42	в этот	10	2
43	все же	2	2
44	что и	2	2
45	ее в	8	2
46	и для	2	2
47	с тем	6	2
48	и там	3	2
49	природы и	2	2
50	жизни в	2	2
51	сразу же	2	2
52	не все	4	2
53	к этому	5	2
54	не имеет	3	2
55	должно быть	2	2
56	человека а	2	2
57	в ее	3	2
58	в которой	2	2
59	в других	15	2
60	что для	3	2
61	том что	22	2
62	так что	4	2
63	и на	6	2
64	и то	2	2
65	и с	10	2
66	чем в	2	2
67	совсем не	2	2
68	тем что	3	2
69	одно из	2	2
70	его в	8	2
71	должен был	3	2
72	в своей	2	2
73	так как	13	2
74	и о	3	2
75	к ней	2	2
76	но в	5	2
