N	2gram	Bakhtin_Pr_1	VLabPisa
1	таким образом	11	27
2	в этом	25	26
3	и в	23	25
4	творческого процесса	3	22
5	не только	13	22
6	может быть	21	21
7	хотя бы	2	20
8	и не	34	19
9	художественного творчества	2	18
10	не может	11	17
11	в его	24	15
12	в процессе	4	14
13	прежде всего	7	13
14	в том	11	13
15	этом отношении	5	13
16	все это	7	12
17	вот что	2	11
18	с другой	2	11
19	из них	2	11
20	не могут	6	10
21	о том	2	10
22	в художественном	2	10
23	по этому	2	9
24	к этому	2	9
25	что в	8	9
26	для него	15	9
27	но и	11	9
28	то же	10	9
29	все эти	8	8
30	в своем	8	8
31	другой стороны	2	8
32	ни один	2	8
33	из этих	2	7
34	же в	2	7
35	как и	8	7
36	том что	9	7
37	было бы	6	7
38	отношению к	11	7
39	во всех	5	7
40	вместе с	2	7
41	по отношению	11	7
42	не было	3	7
43	а не	20	7
44	у него	6	6
45	это не	10	6
46	в себе	5	6
47	это и	9	6
48	то что	18	6
49	в основном	2	6
50	в нем	20	6
51	в зависимости	3	6
52	так и	10	6
53	бы и	4	6
54	и его	13	6
55	их в	2	6
56	между тем	5	6
57	в то	10	6
58	в результате	4	5
59	тому что	2	5
60	же время	7	5
61	все же	5	5
62	зависимости от	3	5
63	в пределах	9	5
64	и есть	5	5
65	в искусстве	2	5
66	одним из	8	5
67	как бы	28	5
68	один из	2	5
69	в их	3	5
70	приводит к	3	5
71	сказать что	5	5
72	только в	8	5
73	не в	6	5
74	в плане	5	5
75	он говорит	2	5
76	для его	3	4
77	в единстве	7	4
78	никогда не	5	4
79	перед нами	4	4
80	в одном	9	4
81	в целом	4	4
82	что все	3	4
83	что он	10	4
84	с его	6	4
85	можно сказать	2	4
86	в романе	11	4
87	одна из	2	4
88	в своей	11	4
89	в самом	8	4
90	даже в	2	4
91	как раз	4	4
92	в них	3	4
93	в этой	4	4
94	в противоположность	3	3
95	и к	4	3
96	всех этих	3	3
97	и как	8	3
98	в конце	5	3
99	одном из	2	3
100	по существу	4	3
101	из его	3	3
102	в творчестве	5	3
103	но как	3	3
104	со своим	3	3
105	например в	3	3
106	в котором	2	3
107	его в	4	3
108	что и	5	3
109	жизни и	6	3
110	него в	2	3
111	и их	2	3
112	именно в	6	3
113	этот вопрос	2	3
114	того что	2	3
115	и по	2	3
116	так же	6	3
117	в которых	2	3
118	никак не	2	3
119	как на	2	3
120	точки зрения	21	3
121	она не	5	3
122	является не	3	3
123	бы в	3	3
124	на вопрос	2	2
125	разобраться в	2	2
126	вне его	2	2
127	он сам	3	2
128	в каждом	8	2
129	мира и	7	2
130	отличается от	2	2
131	по крайней	2	2
132	его художественного	4	2
133	в жизни	6	2
134	своих героев	3	2
135	вовсе не	8	2
136	а как	6	2
137	роль в	2	2
138	по себе	7	2
139	в книге	3	2
140	крайней мере	2	2
141	до сих	2	2
142	и потому	3	2
143	но не	8	2
144	но для	2	2
145	как у	2	2
146	не об	3	2
147	еще не	5	2
148	для того	2	2
149	он и	5	2
150	если бы	10	2
151	его произведений	2	2
152	что она	2	2
153	конце концов	4	2
154	и даже	3	2
155	всяком случае	3	2
156	ни одного	2	2
157	идеи в	7	2
158	что для	2	2
159	он может	3	2
160	только то	3	2
161	сих пор	2	2
162	от того	2	2
163	во всей	2	2
164	ее как	2	2
165	и достоевский	3	2
166	от характера	3	2
167	а в	7	2
168	достоевского и	12	2
169	человека в	5	2
170	заключается в	2	2
171	того чтобы	4	2
172	из которых	2	2
173	между ними	2	2
174	и для	3	2
175	можно было	3	2
176	с другими	7	2
177	тому как	3	2
178	в своих	2	2
179	не столько	3	2
180	во всяком	4	2
181	лишь в	3	2
182	он в	2	2
183	он не	4	2
184	подобно тому	3	2
185	они не	3	2
186	как например	2	2
187	говорить о	2	2
188	как он	2	2
189	самый факт	2	2
190	в которой	4	2
191	в области	3	2
192	нет ни	2	2
193	в сознании	2	2
194	но в	4	2
