N	2gram	Propp_Isto_5	Narrotol
1	не только	13	31
2	но и	13	27
3	и не	11	23
4	может быть	17	15
5	в частности	7	14
6	в качестве	7	14
7	как и	7	13
8	а не	2	13
9	а в	3	13
10	только в	7	12
11	в этом	10	12
12	и в	25	11
13	в данном	3	11
14	и его	9	10
15	то что	7	9
16	то же	4	8
17	в том	6	8
18	данном случае	2	8
19	со стороны	2	8
20	не может	6	8
21	уже не	11	8
22	представляет собой	7	8
23	если бы	2	7
24	у него	2	7
25	том что	8	7
26	об этом	2	6
27	не в	6	6
28	и он	6	6
29	как бы	2	6
30	один из	2	6
31	жизни и	2	6
32	или в	6	6
33	в его	12	6
34	в этой	3	6
35	перед нами	2	5
36	можно сказать	2	5
37	в своей	2	5
38	и на	8	5
39	потому что	7	5
40	точки зрения	2	5
41	о чем	2	4
42	никогда не	3	4
43	все же	10	4
44	то в	2	4
45	но не	5	4
46	прежде всего	6	4
47	еще не	8	4
48	к нему	3	4
49	в ней	5	4
50	и тем	4	4
51	в нем	7	4
52	из них	2	4
53	по себе	2	4
54	как в	6	4
55	так в	2	4
56	того что	2	4
57	того чтобы	3	4
58	на себя	3	4
59	в то	3	4
60	что у	4	4
61	о том	7	4
62	одна из	2	4
63	не менее	4	3
64	что в	8	3
65	это уже	2	3
66	это не	6	3
67	не всегда	4	3
68	что он	22	3
69	тем не	4	3
70	и как	3	3
71	в целом	3	3
72	самом деле	2	3
73	для того	3	3
74	но для	2	3
75	он не	4	3
76	о нем	3	3
77	еще в	2	3
78	отношению к	2	3
79	по отношению	2	3
80	героя в	9	3
81	мы не	5	3
82	их в	3	3
83	и с	3	3
84	в русской	3	3
85	и все	3	3
86	представляют собой	3	3
87	мы имеем	14	3
88	по мере	2	2
89	в этих	6	2
90	его и	2	2
91	тот кто	7	2
92	а на	2	2
93	в свою	3	2
94	на то	2	2
95	ему в	3	2
96	к его	2	2
97	как мы	5	2
98	же в	2	2
99	с появлением	5	2
100	и стал	2	2
101	до сих	2	2
102	в пределах	4	2
103	она не	2	2
104	как у	2	2
105	во сне	2	2
106	в роли	3	2
107	также не	2	2
108	если в	3	2
109	себя в	6	2
110	вместе с	22	2
111	героя и	3	2
112	сих пор	2	2
113	в форме	3	2
114	другой стороны	8	2
115	после смерти	3	2
116	в связи	4	2
117	входит в	5	2
118	в особенности	3	2
119	если не	4	2
120	человека в	3	2
121	с другой	9	2
122	и для	2	2
123	друг друга	3	2
124	особенно в	2	2
125	роль в	2	2
126	ничего не	2	2
127	героя но	2	2
128	сказать что	2	2
129	мы можем	2	2
130	связи с	8	2
131	что мы	2	2
132	с ним	4	2
133	это было	2	2
