N	3gram	Voloshinov_1	formyVre
1	то же время	3	9
2	в то же	3	6
3	и того же	5	5
4	одного и того	5	5
5	в связи с	7	5
6	для того чтобы	3	5
7	в том числе	2	4
8	вполне понятно что	3	4
9	между этими двумя	2	3
10	в этом отношении	3	3
11	до сих пор	8	3
12	по отношению к	2	3
13	не может быть	13	3
14	с самого начала	4	2
15	же как и	2	2
16	так же как	2	2
17	в нем нет	2	2
18	связи с этим	3	2
19	с точки зрения	20	2
20	в ее целом	3	2
21	том числе и	2	2
22	в отличие от	5	2
23	как если бы	2	2
24	может быть и	3	2
25	и прежде всего	2	2
26	в том что	3	2
27	но все же	3	2
