N	2gram	Bakhtin_Pr_1	Hudozhes
1	и в	29	28
2	том что	7	19
3	и не	31	18
4	в том	8	15
5	а не	22	14
6	не в	7	13
7	в этом	22	13
8	перед нами	5	11
9	как и	12	11
10	при этом	2	11
11	в его	24	11
12	не только	15	11
13	уже не	13	10
14	но и	14	9
15	в себе	7	9
16	в жизни	2	8
17	что он	8	8
18	может быть	24	8
19	так и	7	8
20	между тем	5	8
21	я не	3	7
22	в мире	6	7
23	отношению к	8	7
24	что она	6	7
25	по отношению	8	7
26	с ним	5	7
27	это не	9	6
28	в котором	2	6
29	то что	15	6
30	жизни и	2	6
31	в своей	8	6
32	если бы	9	6
33	то же	14	6
34	не было	4	6
35	а в	7	6
36	и с	4	6
37	тем что	4	6
38	для себя	2	6
39	в то	10	6
40	с его	9	5
41	у него	5	5
42	в своем	8	5
43	как бы	19	5
44	как в	6	5
45	в этой	4	5
46	что в	8	5
47	она не	7	5
48	и сам	2	5
49	в самом	10	5
50	никогда не	3	5
51	и его	14	5
52	рядом с	14	5
53	одно из	2	5
54	для него	18	5
55	ничего не	5	5
56	бы и	4	4
57	тому что	3	4
58	превращается в	4	4
59	у вас	2	4
60	но не	9	4
61	же время	9	4
62	в художественном	3	4
63	о своем	3	4
64	и о	5	4
65	он не	5	4
66	что и	4	4
67	и уже	2	4
68	и т	4	4
69	как раз	6	4
70	то и	2	4
71	не может	12	4
72	человека в	4	4
73	подобно тому	3	4
74	как будто	3	4
75	только в	10	4
76	тому как	3	4
77	в человеке	3	3
78	все время	2	3
79	была бы	3	3
80	в них	3	3
81	с другой	3	3
82	о себе	12	3
83	в одном	10	3
84	к себе	2	3
85	личности в	4	3
86	прежде всего	7	3
87	что было	4	3
88	в нем	19	3
89	и ее	2	3
90	самом деле	6	3
91	все что	3	3
92	есть и	2	3
93	еще не	5	3
94	было бы	5	3
95	несмотря на	6	3
96	со своим	2	3
97	по преимуществу	2	3
98	в ней	2	3
99	мы уже	2	3
100	героя не	5	3
101	на него	3	3
102	все это	6	3
103	так же	6	3
104	можно было	2	3
105	с другими	7	3
106	для других	2	3
107	и на	7	3
108	на себя	2	3
109	и это	5	3
110	героя и	10	3
111	к нему	6	3
112	все его	3	3
113	он знает	3	2
114	в основе	4	2
115	жизни не	2	2
116	автора и	5	2
117	он сам	3	2
118	представляется нам	2	2
119	т е	21	2
120	себя и	2	2
121	однако в	2	2
122	его и	2	2
123	именно в	5	2
124	не как	14	2
125	и от	2	2
126	в духе	3	2
127	вовсе не	7	2
128	а как	7	2
129	личной жизни	2	2
130	как мы	4	2
131	одна из	3	2
132	ибо в	2	2
133	но именно	3	2
134	и к	2	2
135	же и	2	2
136	о нем	9	2
137	все те	2	2
138	до сих	2	2
139	один из	2	2
140	оно не	3	2
141	все же	9	2
142	отношение к	2	2
143	как же	4	2
144	сих пор	2	2
145	данном случае	2	2
146	что же	4	2
147	мысли и	5	2
148	приводит к	3	2
149	и внутренне	3	2
150	как на	3	2
151	т п	3	2
152	в контексте	2	2
153	те же	2	2
154	именно на	2	2
155	и у	3	2
156	между ними	2	2
157	ни одного	2	2
158	хотя бы	2	2
159	и для	4	2
160	с точки	13	2
161	той же	5	2
162	в данном	2	2
163	тем как	4	2
164	сказать что	3	2
165	потому что	8	2
166	точки зрения	19	2
167	самим собою	2	2
168	не во	3	2
169	его в	6	2
170	зрения на	7	2
171	но в	7	2
172	тоже не	2	2
173	же не	2	2
