N	2gram	Tiupa_Lite_2	Dialekti
1	и не	11	30
2	а не	20	18
3	может быть	17	17
4	и т	2	17
5	ничего не	3	17
6	то что	7	16
7	и в	19	15
8	как бы	2	14
9	так как	3	14
10	точки зрения	4	14
11	того что	5	13
12	прежде всего	4	11
13	в том	10	11
14	не может	9	11
15	в этом	9	11
16	с ее	2	10
17	в основе	2	10
18	потому что	2	10
19	том что	7	10
20	было бы	2	9
21	в виду	2	9
22	мы не	4	9
23	и что	2	9
24	то же	12	9
25	уже не	2	9
26	с точки	3	9
27	не в	4	8
28	в себе	6	8
29	не только	8	8
30	что в	4	7
31	крайней мере	2	7
32	по крайней	2	7
33	что он	3	7
34	как и	10	7
35	и его	3	7
36	так что	4	6
37	же время	9	6
38	а именно	3	6
39	и даже	8	6
40	в результате	2	6
41	вовсе не	2	6
42	в то	9	6
43	что и	2	6
44	я не	5	5
45	так и	7	5
46	в ней	4	5
47	в сфере	4	5
48	в нем	3	5
49	но только	2	5
50	и на	6	5
51	о том	2	5
52	личности в	3	5
53	в жизни	2	5
54	то в	2	5
55	что я	2	5
56	в сущности	3	5
57	в себя	3	5
58	для того	2	5
59	и для	3	5
60	той же	2	5
61	и как	3	4
62	но это	3	4
63	в этой	3	4
64	один из	4	4
65	жизни и	4	4
66	но и	10	4
67	на свете	2	4
68	и с	3	4
69	уже о	2	4
70	в одном	2	4
71	с тем	2	4
72	отнюдь не	4	4
73	еще не	2	4
74	как раз	2	4
75	хотя бы	2	4
76	тому как	2	4
77	в его	4	4
78	подобно тому	2	4
79	на этом	2	3
80	и нет	2	3
81	тем самым	3	3
82	для всех	5	3
83	себя и	2	3
84	к жизни	2	3
85	говоря уже	2	3
86	не говоря	2	3
87	в их	3	3
88	и наконец	2	3
89	даже и	2	3
90	в истории	2	3
91	с ним	2	3
92	себя как	2	3
93	но в	2	3
94	у нас	5	3
95	со стороны	3	3
96	что не	2	3
97	из которых	2	3
98	в сравнении	2	3
99	в данном	3	3
100	и то	3	3
101	могут быть	2	3
102	едва ли	4	3
103	а если	2	3
104	в области	4	3
105	не менее	6	2
106	в противоположность	2	2
107	в частности	4	2
108	и без	2	2
109	с этой	2	2
110	к своему	2	2
111	это как	2	2
112	при этом	6	2
113	себе и	3	2
114	никогда не	3	2
115	был бы	2	2
116	из них	2	2
117	не по	2	2
118	я вижу	2	2
119	другой стороны	4	2
120	то и	3	2
121	для этого	2	2
122	и только	2	2
123	быть не	2	2
124	не было	2	2
125	но как	2	2
126	как это	2	2
127	есть по	2	2
128	однако в	6	2
129	в них	2	2
130	что было	2	2
131	в ее	2	2
132	все же	2	2
133	сила и	2	2
134	в качестве	5	2
135	все что	2	2
136	одной из	2	2
137	в свое	2	2
138	себе не	2	2
139	тем не	2	2
140	себя в	6	2
141	во всех	3	2
142	вместе с	5	2
143	не раз	2	2
144	все равно	2	2
145	сравнении с	2	2
146	тем что	4	2
147	и жизни	3	2
