N	2gram	Vinokur_Ku_2	RusskieA
1	и в	23	29
2	т е	22	24
3	что в	10	22
4	том что	11	22
5	в том	19	22
6	как бы	4	18
7	состоит в	2	15
8	может быть	15	13
9	так как	15	13
10	п в	3	12
11	как и	2	11
12	в этом	18	11
13	все это	5	10
14	и с	7	10
15	не только	20	10
16	а на	2	9
17	а в	3	9
18	но и	7	8
19	мы видели	2	7
20	в день	2	7
21	данном случае	2	7
22	как в	3	7
23	или в	4	7
24	с тем	2	6
25	этом случае	2	6
26	же в	3	6
27	еще не	5	6
28	для того	9	6
29	для нас	4	6
30	вместе с	5	6
31	таким образом	5	6
32	при этом	2	6
33	того чтобы	11	6
34	и на	6	6
35	в данном	4	6
36	мы имеем	5	6
37	потому что	25	5
38	это не	6	5
39	к этому	4	5
40	то что	9	5
41	и что	8	5
42	но не	6	5
43	для этого	3	5
44	и т	39	5
45	не может	9	5
46	или же	2	5
47	т д	14	5
48	будто бы	2	5
49	но в	11	5
50	именно в	3	4
51	в них	4	4
52	и все	2	4
53	не все	3	4
54	вопрос о	9	4
55	уже не	8	4
56	по существу	5	4
57	не в	8	4
58	к нему	2	4
59	же как	2	4
60	а также	3	4
61	так же	4	4
62	то и	3	4
63	то же	6	4
64	у нас	12	4
65	а не	10	4
66	в которых	2	4
67	как это	5	4
68	на этом	3	3
69	тем что	3	3
70	в качестве	8	3
71	и от	2	3
72	не всегда	2	3
73	в году	2	3
74	главным образом	3	3
75	для этой	2	3
76	она не	2	3
77	до конца	3	3
78	того что	3	3
79	было бы	15	3
80	и о	4	3
81	что она	3	3
82	не имеет	4	3
83	а именно	2	3
84	в отличие	2	3
85	что для	2	3
86	все эти	12	3
87	и по	3	3
88	как мы	3	3
89	между тем	6	3
90	в этой	6	3
91	в таких	3	3
92	что это	7	3
93	отличие от	2	3
94	не менее	7	2
95	с этой	2	2
96	связи с	3	2
97	об этом	5	2
98	могут быть	4	2
99	никогда не	2	2
100	связанные с	2	2
101	с другой	8	2
102	это в	2	2
103	прежде всего	8	2
104	как можно	2	2
105	что и	3	2
106	в целях	2	2
107	это и	3	2
108	чем в	3	2
109	очевидно что	2	2
110	после того	2	2
111	нам право	2	2
112	только как	2	2
113	и пр	8	2
114	совершенно не	3	2
115	что на	4	2
116	тем не	6	2
117	в виду	3	2
118	один из	5	2
119	должен быть	5	2
120	все же	7	2
121	в своей	2	2
122	вся эта	2	2
123	дело не	2	2
124	в форме	3	2
125	в их	2	2
126	сюда же	2	2
127	но можно	2	2
128	вряд ли	4	2
129	того как	2	2
130	не было	4	2
131	с одной	2	2
132	на самом	2	2
133	образом в	2	2
134	там где	5	2
135	этот вопрос	6	2
136	здесь мы	2	2
137	из которых	3	2
138	и для	2	2
139	должно быть	4	2
140	можно было	9	2
141	так в	3	2
142	быть только	2	2
143	в своих	2	2
144	и то	5	2
145	также что	2	2
146	с этим	3	2
147	и еще	2	2
148	за этим	2	2
149	в то	4	2
150	этой цели	2	2
151	есть в	3	2
152	можно встретить	3	2
