N	2gram	Tiupa_Teor_1	RusskieA
1	и в	18	29
2	что в	9	22
3	том что	9	22
4	в том	16	22
5	как бы	5	18
6	состоит в	17	15
7	и другие	2	14
8	может быть	17	13
9	как и	4	11
10	в этом	8	11
11	все это	2	10
12	не только	16	10
13	а на	3	9
14	а в	13	9
15	но и	9	8
16	ее в	2	8
17	а а	5	8
18	его в	2	8
19	данном случае	5	7
20	как в	5	7
21	или в	3	7
22	еще не	4	6
23	вместе с	2	6
24	таким образом	3	6
25	при этом	12	6
26	в данном	8	6
27	мы имеем	7	6
28	потому что	3	5
29	это не	2	5
30	то что	3	5
31	и что	3	5
32	но не	9	5
33	к жизни	2	5
34	не может	4	5
35	но в	9	5
36	именно в	3	4
37	в них	2	4
38	не все	3	4
39	уже не	4	4
40	не в	7	4
41	а также	6	4
42	так же	2	4
43	то же	7	4
44	у нас	2	4
45	а не	9	4
46	их в	3	4
47	далеко не	2	4
48	как это	8	4
49	в этих	3	3
50	в качестве	24	3
51	в ее	5	3
52	того что	4	3
53	и о	4	3
54	что она	2	3
55	с другими	5	3
56	а именно	2	3
57	в отличие	6	3
58	все эти	2	3
59	и по	2	3
60	или даже	4	3
61	между тем	5	3
62	но он	3	3
63	в этой	3	3
64	отличие от	6	3
65	не менее	4	2
66	об этом	2	2
67	могут быть	4	2
68	никогда не	4	2
69	между собой	3	2
70	жизни в	2	2
71	с другой	7	2
72	из этих	3	2
73	прежде всего	2	2
74	ногами и	2	2
75	что и	2	2
76	и как	2	2
77	одним из	2	2
78	в глаза	2	2
79	одной стороны	2	2
80	тем не	3	2
81	в виду	5	2
82	за пределами	5	2
83	один из	2	2
84	но она	2	2
85	на две	3	2
86	не с	3	2
87	в своей	6	2
88	дело не	2	2
89	в форме	2	2
90	в их	2	2
91	а и	4	2
92	тогда как	15	2
93	а с	3	2
94	с одной	2	2
95	и для	2	2
96	так в	4	2
97	и то	2	2
98	в момент	2	2
99	на себя	2	2
100	и ее	3	2
101	в то	6	2
102	представляет собой	9	2
103	в состав	6	2
104	в которой	2	2
105	есть в	2	2
