N	2gram	Savitsky_E_1	Istorich
1	т е	9	29
2	не только	18	18
3	может быть	6	17
4	никогда не	3	15
5	и в	37	15
6	но и	14	14
7	так как	7	14
8	так же	9	13
9	что в	21	12
10	а в	2	12
11	то что	6	12
12	в этих	2	11
13	и не	14	11
14	в этом	12	11
15	то же	15	10
16	с тем	3	9
17	потому что	3	9
18	он не	2	8
19	мы видим	2	8
20	мы можем	3	8
21	том что	6	7
22	вместе с	2	7
23	таким образом	2	7
24	не в	5	7
25	что это	2	6
26	наряду с	2	6
27	в его	2	6
28	как бы	6	6
29	что и	3	6
30	и что	2	6
31	в том	11	6
32	только в	9	6
33	но в	14	6
34	с этим	2	5
35	прежде всего	9	5
36	в одном	2	5
37	к тому	8	5
38	как в	3	5
39	она не	2	5
40	было бы	8	5
41	же как	5	5
42	в котором	2	5
43	так и	10	5
44	не может	9	5
45	а не	2	5
46	и наконец	2	5
47	к нему	2	5
48	можно было	3	5
49	представляет собой	3	5
50	с одной	8	4
51	в другой	2	4
52	вопрос о	4	4
53	для нас	4	4
54	в этой	2	4
55	одной из	5	4
56	в ней	4	4
57	что эти	2	4
58	и с	2	4
59	тем что	3	4
60	и на	6	4
61	в себе	9	4
62	мы должны	2	4
63	но по	2	3
64	в качестве	14	3
65	на то	6	3
66	как это	4	3
67	одной стороны	8	3
68	мог бы	2	3
69	между прочим	7	3
70	но если	5	3
71	о том	3	3
72	когда он	3	3
73	а именно	2	3
74	в их	11	3
75	того что	7	3
76	мы не	4	3
77	как будто	2	3
78	в других	2	3
79	и более	2	2
80	могут быть	2	2
81	с другой	7	2
82	но с	2	2
83	представление о	2	2
84	главным образом	2	2
85	в северной	2	2
86	именно в	4	2
87	как и	7	2
88	есть ли	2	2
89	мы видели	3	2
90	в силу	2	2
91	такой же	2	2
92	но не	5	2
93	того чтобы	6	2
94	и если	2	2
95	и для	3	2
96	а также	7	2
97	хотя бы	15	2
98	также в	2	2
99	ее в	3	2
100	из них	3	2
101	во всех	6	2
102	в некоторых	2	2
103	и только	3	2
104	другой стороны	2	2
105	это так	3	2
106	то не	2	2
107	тем самым	5	2
108	и по	5	2
109	происходит в	2	2
110	или в	2	2
111	с другими	2	2
112	и то	2	2
113	в которых	3	2
114	сказать что	4	2
115	к ней	4	2
116	более поздние	2	2
117	его на	2	2
118	при помощи	2	2
119	заметить что	2	2
120	в эту	2	2
