N	2gram	Berdyaev_N_1	Literetu
1	а не	17	20
2	и в	16	19
3	может быть	7	17
4	и не	11	11
5	и т.п	2	10
6	в том	8	10
7	как и	7	10
8	но и	3	10
9	такого рода	2	9
10	не может	16	9
11	в мире	3	9
12	в этом	7	9
13	в то	2	9
14	с другой	3	8
15	не только	5	8
16	и даже	2	8
17	том что	2	7
18	то что	4	7
19	так и	2	7
20	с одной	2	7
21	не менее	4	6
22	в себе	2	6
23	одной стороны	2	6
24	себя в	2	6
25	и на	2	6
26	я не	2	5
27	одна из	2	5
28	но не	2	5
29	он не	8	5
30	вместе с	2	5
31	что в	9	4
32	жизни в	3	4
33	прежде всего	4	4
34	не в	6	4
35	в ней	5	4
36	жизни и	8	4
37	другой стороны	2	4
38	мы не	2	4
39	перестает быть	4	3
40	никогда не	6	3
41	быть может	4	3
42	в нем	5	3
43	по существу	2	3
44	но это	6	3
45	такой же	2	3
46	права на	2	3
47	во всех	3	3
48	том чтобы	2	3
49	и для	4	3
50	а в	2	3
51	и с	2	3
52	не было	4	2
53	к жизни	3	2
54	же как	2	2
55	с тем	3	2
56	у него	2	2
57	для этого	2	2
58	в них	4	2
59	в жизни	5	2
60	и к	5	2
61	жизни как	2	2
62	в ее	3	2
63	еще не	3	2
64	с ее	5	2
65	не к	2	2
66	могут быть	2	2
67	в истории	3	2
68	мысли и	2	2
69	уже не	2	2
70	и что	2	2
71	хотя бы	2	2
72	не знает	6	2
73	в русском	2	2
74	потому что	4	2
75	в основе	3	2
76	во имя	15	2
77	подобно тому	3	2
78	о том	4	2
79	в россии	3	2
80	тому как	3	2
81	как это	2	2
82	но в	2	2
