N	2gram	Berdyaev_V_1	Problemy
1	и в	16	46
2	и не	20	27
3	как бы	5	19
4	в нем	4	17
5	в этом	4	16
6	не только	2	14
7	но и	5	12
8	как и	4	12
9	а не	7	11
10	не в	3	10
11	прежде всего	2	9
12	в том	3	9
13	и все	4	9
14	в его	4	9
15	конечно не	2	8
16	еще не	8	7
17	никогда не	3	6
18	ни в	3	6
19	но это	3	6
20	хотя и	5	6
21	но в	3	6
22	что он	4	6
23	что я	3	6
24	все это	5	6
25	только в	2	6
26	это не	2	5
27	и сам	2	5
28	в котором	4	5
29	жизни и	3	5
30	так как	9	5
31	в жизни	3	5
32	с его	3	5
33	во всех	3	5
34	что в	3	4
35	в этих	3	4
36	да и	2	4
37	все эти	3	4
38	должно быть	3	4
39	людей и	2	4
40	потому что	4	4
41	мы слышим	2	4
42	мы не	2	4
43	любовь к	3	4
44	превращается в	3	4
45	том что	2	4
46	но не	2	4
47	то что	9	4
48	так и	4	4
49	в себя	2	4
50	уже не	2	4
51	на себя	5	4
52	человека и	6	3
53	не могут	2	3
54	в мире	5	3
55	мы и	2	3
56	то это	3	3
57	и для	3	3
58	не к	2	3
59	в конце	3	3
60	их в	3	3
61	и во	2	3
62	и что	3	3
63	в своей	3	3
64	что и	3	3
65	тем что	2	3
66	и это	2	3
67	должна быть	3	2
68	его к	2	2
69	к тому	3	2
70	есть уже	2	2
71	для нас	2	2
72	для него	2	2
73	людей в	3	2
74	на том	2	2
75	не было	3	2
76	лишь в	3	2
77	а в	2	2
78	что мы	4	2
79	с ним	2	2
80	между тем	2	2
81	в духе	2	2
82	одна из	2	2
83	все что	4	2
84	нет и	2	2
85	этих трех	3	2
86	бы и	3	2
87	все равно	2	2
88	и они	3	2
89	хотя бы	3	2
90	можно было	2	2
91	во всяком	2	2
92	от этого	3	2
93	могут быть	2	2
94	не могли	2	2
95	а между	2	2
