N	2gram	Tiupa_Narr_1	Narrotol
1	не только	32	26
2	а не	12	17
3	представляет собой	13	16
4	но и	23	15
5	тогда как	12	15
6	в том	18	14
7	при этом	9	14
8	в качестве	21	14
9	и не	20	14
10	том что	14	13
11	и в	19	13
12	в этом	17	13
13	состоит в	13	12
14	такого рода	7	12
15	в частности	14	11
16	только в	4	11
17	может быть	25	10
18	в данном	5	10
19	своего рода	12	9
20	к тому	7	9
21	так и	9	9
22	сводится к	3	9
23	а в	11	9
24	то есть	19	9
25	нарративного дискурса	9	8
26	картина мира	5	8
27	то что	11	8
28	в себе	8	8
29	в тексте	16	8
30	не может	10	8
31	не в	14	8
32	коммуникативного события	12	8
33	события рассказывания	5	7
34	не сводится	2	7
35	иначе говоря	6	7
36	к себе	5	7
37	в рамках	12	6
38	никогда не	3	6
39	в своем	2	6
40	прежде всего	4	6
41	можно сказать	5	6
42	вслед за	4	6
43	в его	9	6
44	и т.п	8	6
45	коммуникативное событие	3	6
46	данном случае	4	6
47	со стороны	9	6
48	жизни в	3	6
49	героя в	8	6
50	все же	7	6
51	у него	4	6
52	как бы	4	6
53	а также	7	6
54	всего лишь	2	6
55	ничего не	2	6
56	но в	6	6
57	по мысли	3	5
58	точки зрения	10	5
59	не столько	4	5
60	тем не	3	5
61	что он	6	5
62	одной стороны	7	5
63	хотя и	3	5
64	он не	3	5
65	и тем	4	5
66	в нем	4	5
67	отношению к	6	5
68	на него	3	5
69	как в	7	5
70	в форме	5	5
71	по отношению	7	5
72	в отличие	5	5
73	с одной	7	5
74	в той	6	5
75	тем самым	6	5
76	с другой	8	5
77	на протяжении	6	5
78	отличие от	5	5
79	в то	3	5
80	далеко не	5	5
81	о том	6	5
82	перед нами	4	4
83	что это	3	4
84	не менее	3	4
85	отнюдь не	5	4
86	повествуемого мира	3	4
87	нарративной истории	2	4
88	событийной цепи	3	4
89	в литературе	2	4
90	же в	4	4
91	тому же	5	4
92	как и	7	4
93	времени и	7	4
94	у нее	2	4
95	что в	3	4
96	для него	2	4
97	читателя в	2	4
98	при всей	4	4
99	не является	8	4
100	жизни и	3	4
101	в ее	3	4
102	то же	4	4
103	в какой	2	4
104	уже не	5	4
105	рассказывания в	2	4
106	в мире	9	4
107	истории в	3	4
108	в рассказе	4	4
109	в силу	4	4
110	следует признать	2	4
111	в этой	5	4
112	и т.д	7	4
113	и все	2	4
114	как это	6	4
115	в себя	6	4
116	мира в	5	4
117	в известном	2	3
118	с его	6	3
119	конечном счете	2	3
120	мы имеем	2	3
121	точку зрения	4	3
122	или даже	2	3
123	это не	2	3
124	пока еще	4	3
125	или иного	2	3
126	интриги в	3	3
127	или иной	5	3
128	и представляет	2	3
129	да и	4	3
130	что они	3	3
131	одна из	3	3
132	но не	5	3
133	же время	4	3
134	в аспекте	2	3
135	событии рассказывания	2	3
136	того или	2	3
137	известном смысле	2	3
138	как раз	2	3
139	и когда	2	3
140	той или	4	3
141	в конечном	3	3
142	о нем	4	3
143	один из	3	3
144	на том	3	3
145	между собой	2	3
146	как к	2	3
147	все эти	2	3
148	самом деле	2	3
149	и даже	3	3
150	нарративного высказывания	6	3
151	и для	2	3
152	и его	5	3
153	в коммуникативном	3	3
154	в таком	2	3
155	о ней	3	3
156	этом отношении	3	3
157	сказать что	4	3
158	между тем	3	3
159	по своей	3	3
160	как правило	4	3
161	мира и	2	3
162	дело с	2	2
163	в принципе	4	2
164	не обязательно	3	2
165	в архиерее	3	2
166	он сам	2	2
167	зависит от	2	2
168	дискурс в	2	2
169	же как	3	2
170	очевидным образом	2	2
171	о чем	2	2
172	одно из	2	2
173	личности в	2	2
174	восходит к	3	2
175	однако в	2	2
176	что у	2	2
177	может оказаться	2	2
178	хотя бы	4	2
179	столь же	3	2
180	к другому	2	2
181	они все	2	2
182	персонажа и	2	2
183	дискурса в	2	2
184	современной нарратологии	2	2
185	а во	3	2
186	из этих	3	2
187	точно так	2	2
188	сын человеческий	2	2
