N	2gram	Vygotskiy__5	PoTuStor
1	может быть	11	17
2	и в	30	16
3	прежде всего	4	9
4	таким образом	20	9
5	в этом	14	9
6	мы можем	7	9
7	и только	3	9
8	совершенно не	6	8
9	и его	6	8
10	и с	2	8
11	точки зрения	7	8
12	не может	9	8
13	с его	2	7
14	сказать что	9	7
15	не только	16	7
16	и это	8	6
17	и к	4	6
18	с точки	2	6
19	самом деле	8	6
20	для него	3	6
21	при этом	8	6
22	все эти	2	5
23	ни в	3	5
24	еще не	5	5
25	как бы	19	5
26	в него	4	5
27	с самого	3	4
28	самого начала	3	4
29	в нем	7	4
30	но и	6	4
31	так и	3	4
32	все это	2	4
33	хотя бы	3	4
34	и все	4	4
35	так как	9	4
36	и не	6	4
37	на самом	2	4
38	как мы	5	4
39	но мы	2	4
40	можно сказать	2	4
41	и наконец	3	4
42	и даже	2	4
43	и на	3	4
44	в этой	5	4
45	только в	5	4
46	но в	5	4
47	в его	4	4
48	мы знаем	2	3
49	в этих	3	3
50	по сравнению	4	3
51	что в	24	3
52	жизни и	6	3
53	и есть	5	3
54	во всех	2	3
55	могут быть	8	3
56	вместе с	12	3
57	сих пор	5	3
58	сравнению с	4	3
59	чем не	2	3
60	отношения к	2	3
61	в одном	2	3
62	этом смысле	2	3
63	и вот	2	3
64	в том	27	3
65	чувств и	4	3
66	а в	4	3
67	том что	21	3
68	и как	7	3
69	то что	37	3
70	в основе	7	3
71	на этом	6	3
72	только на	4	3
73	едва ли	2	3
74	как это	7	3
75	и потому	5	3
76	до сих	5	3
77	между ними	2	3
78	эмоций и	5	2
79	не существует	3	2
80	это делает	2	2
81	один из	5	2
82	не могут	3	2
83	что и	3	2
84	не есть	4	2
85	в душе	2	2
86	же как	2	2
87	в частности	4	2
88	никогда не	9	2
89	между собой	2	2
90	для этого	9	2
91	в них	4	2
92	если мы	16	2
93	находится в	2	2
94	того же	2	2
95	к следующему	2	2
96	с этой	2	2
97	и так	2	2
98	из этих	3	2
99	и таким	2	2
100	с этим	2	2
101	то же	7	2
102	что оно	6	2
103	к этому	3	2
104	не знает	2	2
105	с помощью	2	2
106	сводится к	5	2
107	что он	17	2
108	мы не	3	2
109	этой теории	2	2
110	что на	3	2
111	что мы	11	2
112	на первый	2	2
113	у него	3	2
114	и для	6	2
115	нам кажется	2	2
116	для нас	3	2
117	меньше всего	3	2
118	как и	6	2
119	мы видим	8	2
120	так же	13	2
121	мы уже	6	2
122	совсем не	2	2
123	знаем что	2	2
124	он не	3	2
125	чувства и	5	2
126	в каком	3	2
127	не можем	4	2
128	ту же	2	2
129	было бы	5	2
130	что это	8	2
131	все то	2	2
132	и мы	16	2
133	и вся	3	2
134	о том	10	2
135	в самом	14	2
136	в своей	4	2
137	и о	3	2
138	почти не	2	2
139	себя и	2	2
