N	2gram	Voloshinov_1	DiskursI
1	при этом	6	17
2	и в	16	16
3	может быть	17	16
4	как и	2	16
5	в этом	9	16
6	и не	4	15
7	в частности	2	12
8	и т.п	2	12
9	но и	4	11
10	но в	4	11
11	том что	3	10
12	не только	7	10
13	так и	4	9
14	не может	8	9
15	в том	3	8
16	не менее	2	7
17	прежде всего	9	7
18	в нем	4	7
19	ни в	5	7
20	при всей	2	7
21	с его	7	6
22	отнюдь не	4	6
23	еще не	5	6
24	в своей	2	6
25	то же	2	6
26	что в	3	5
27	для него	6	5
28	то что	3	5
29	и на	4	5
30	в одном	3	4
31	к этому	2	4
32	в пределах	2	4
33	как бы	5	4
34	в основе	3	4
35	можно назвать	2	4
36	точки зрения	8	4
37	в этой	4	4
38	о том	2	4
39	мира и	3	4
40	я и	6	4
41	и может	4	3
42	могут быть	3	3
43	в этих	3	3
44	в них	2	3
45	из этих	2	3
46	и все	4	3
47	и как	3	3
48	можно сказать	4	3
49	он не	2	3
50	в его	4	3
51	жизни и	3	3
52	и ее	4	3
53	все эти	5	3
54	и наконец	4	3
55	и его	8	3
56	но это	2	3
57	не знает	2	3
58	только в	4	3
59	его в	4	3
60	же как	2	2
61	никогда не	2	2
62	в большинстве	3	2
63	момент в	2	2
64	что на	2	2
65	на первый	2	2
66	что он	2	2
67	есть в	2	2
68	того же	2	2
69	отношение к	5	2
70	с их	3	2
71	в свое	2	2
72	что и	2	2
73	с ее	4	2
74	с точки	6	2
75	вместе с	3	2
76	не на	2	2
77	чем не	3	2
78	сводится к	2	2
79	все это	4	2
80	и для	2	2
81	а в	3	2
82	их в	3	2
83	и с	8	2
84	может иметь	2	2
85	реальности и	3	2
86	говорить о	2	2
87	и это	6	2
88	в области	3	2
