N	2gram	Nazirov_Tv_1	UchenyiS
1	и в	21	14
2	а не	5	10
3	не только	7	10
4	и не	7	8
5	прежде всего	4	8
6	то что	8	7
7	в этом	6	7
8	вот почему	3	7
9	не может	4	7
10	может быть	5	6
11	хотя бы	5	5
12	все это	10	5
13	то же	13	5
14	но и	3	4
15	в этой	5	4
16	конечном счете	4	4
17	в их	3	4
18	в россии	3	4
19	с другой	3	4
20	в конечном	4	4
21	но в	7	3
22	как и	12	3
23	все же	5	3
24	в своей	4	3
25	в частности	2	3
26	по нашему	5	3
27	же время	12	3
28	для него	6	3
29	это не	4	3
30	вряд ли	2	3
31	в то	15	3
32	нашему мнению	5	3
33	том что	11	2
34	но не	3	2
35	в том	7	2
36	с его	11	2
37	крайней мере	2	2
38	не в	2	2
39	но это	5	2
40	не столько	2	2
41	не случайно	4	2
42	это уже	5	2
43	только в	5	2
44	и с	3	2
45	могут быть	2	2
46	что он	6	2
47	и у	2	2
48	в себе	2	2
49	на эту	4	2
50	что все	3	2
51	в самом	3	2
52	одним из	4	2
53	надо было	2	2
54	самом деле	2	2
55	а как	2	2
56	по крайней	2	2
57	что она	2	2
58	что и	2	2
59	в его	13	2
60	таким образом	5	2
