N	2gram	Vygotskiy__5	NovoeSre
1	а не	10	17
2	не может	18	16
3	и в	16	16
4	и не	12	11
5	и есть	7	10
6	что в	16	9
7	жизни и	2	8
8	он не	8	8
9	в том	18	8
10	в новой	4	7
11	как и	8	7
12	это есть	4	7
13	в этом	25	7
14	может быть	9	7
15	никогда не	5	6
16	в высшей	2	6
17	не знает	5	6
18	не в	6	6
19	высшей степени	2	6
20	но это	3	6
21	в нем	7	5
22	все это	2	5
23	в жизни	2	5
24	и к	2	5
25	в ней	2	5
26	не только	16	5
27	не менее	3	4
28	то что	26	4
29	в них	2	4
30	это не	4	4
31	не имеет	4	4
32	должно быть	8	4
33	потому что	21	4
34	по своему	3	4
35	прежде всего	3	4
36	о том	8	4
37	значит что	5	4
38	и потому	2	4
39	к жизни	3	3
40	но и	6	3
41	не есть	4	3
42	должна быть	5	3
43	в своей	2	3
44	в истории	2	3
45	с другой	4	3
46	вопрос о	12	3
47	во всех	2	3
48	не означает	4	3
49	перейти к	3	3
50	к тому	6	3
51	в основе	8	3
52	с тем	3	3
53	подобно тому	4	3
54	как в	5	3
55	еще не	4	3
56	тому как	4	3
57	за пределы	4	3
58	сказать что	13	3
59	к ним	2	3
60	что все	6	2
61	я не	2	2
62	на протяжении	2	2
63	самый процесс	2	2
64	у него	6	2
65	вместе с	4	2
66	так и	7	2
67	что она	2	2
68	к самой	2	2
69	мысли и	5	2
70	другой стороны	2	2
71	и от	2	2
72	мы говорим	2	2
73	а в	3	2
74	с одной	3	2
75	все эти	4	2
76	быть в	2	2
77	такой же	4	2
78	того чтобы	17	2
79	одной стороны	3	2
80	зависит от	4	2
81	и даже	2	2
82	от всякого	2	2
83	хотя бы	5	2
84	но не	10	2
85	вот почему	3	2
86	так же	15	2
87	по существу	3	2
88	это и	3	2
89	время как	4	2
90	мы не	3	2
91	том что	15	2
92	в смысле	3	2
93	можно было	5	2
94	же как	7	2
95	и с	3	2
96	и что	12	2
97	могут быть	4	2
98	с этим	3	2
99	переход к	3	2
100	и на	6	2
101	с их	4	2
102	в то	5	2
103	как будто	2	2
104	не имеют	2	2
105	в центре	2	2
106	как это	8	2
107	мысли в	4	2
108	но в	6	2
