N	2gram	Tiupa_Narr_1	Narrotol
1	не только	31	32
2	может быть	15	25
3	но и	27	23
4	в качестве	14	21
5	и не	23	20
6	и в	11	19
7	то есть	9	19
8	в том	8	18
9	в этом	12	17
10	в тексте	13	16
11	в частности	14	14
12	том что	7	14
13	не в	6	14
14	состоит в	10	13
15	а не	13	12
16	своего рода	10	12
17	тогда как	10	12
18	представляет собой	8	12
19	то что	9	11
20	а в	13	11
21	не может	8	10
22	точки зрения	5	10
23	при этом	19	9
24	со стороны	8	9
25	так и	5	9
26	в его	6	9
27	в мире	4	9
28	с другой	2	8
29	героя в	3	8
30	не является	3	8
31	во времени	9	8
32	и т.п	8	8
33	в себе	6	8
34	времени и	9	7
35	и т.д	6	7
36	в случае	2	7
37	как и	13	7
38	еще не	4	7
39	к тому	6	7
40	такого рода	10	7
41	а также	6	7
42	все же	4	7
43	как в	4	7
44	по отношению	3	7
45	с его	4	6
46	что он	3	6
47	актуального членения	2	6
48	отношению к	3	6
49	то в	4	6
50	но не	4	6
51	точка зрения	5	6
52	именно в	3	6
53	в той	2	6
54	высказывания в	2	6
55	тем самым	5	6
56	как это	3	6
57	нарративного высказывания	3	6
58	иначе говоря	8	6
59	на протяжении	7	6
60	о том	4	6
61	но в	7	6
62	и как	3	5
63	отнюдь не	2	5
64	по себе	4	5
65	или иной	4	5
66	можно сказать	5	5
67	тому же	6	5
68	себя в	2	5
69	картины мира	3	5
70	и пространстве	6	5
71	в форме	2	5
72	уже не	8	5
73	к нему	4	5
74	в детстве	2	5
75	и его	10	5
76	в данном	11	5
77	между двумя	5	5
78	в отличие	2	5
79	к себе	4	5
80	отличие от	2	5
81	в этой	6	5
82	мира в	4	5
83	перед нами	5	4
84	переход от	2	4
85	матери и	4	4
86	во втором	6	4
87	прежде всего	4	4
88	в пространстве	3	4
89	одного из	6	4
90	несобственно-прямой речи	5	4
91	в нем	4	4
92	у него	7	4
93	что не	2	4
94	то же	8	4
95	же в	2	4
96	да и	2	4
97	в противовес	3	4
98	если не	2	4
99	при всей	3	4
100	же время	4	4
101	связи с	2	4
102	имеет место	4	4
103	той или	5	4
104	было как	4	4
105	как бы	6	4
106	о нем	3	4
107	речь идет	3	4
108	и тем	4	4
109	хотя бы	2	4
110	данном случае	8	4
111	внутреннего зрения	2	4
112	другой стороны	2	4
113	теперь как	3	4
114	или напротив	3	4
115	в особенности	2	4
116	нарративного текста	4	4
117	не мог	6	4
118	в принципе	4	4
119	в рассказе	8	4
120	сказать что	2	4
121	только в	12	4
122	как правило	5	4
123	героя и	2	4
124	здесь не	2	4
125	и с	3	4
126	не существует	3	3
127	не менее	3	3
128	по мысли	3	3
129	жизни в	2	3
130	в архиерее	2	3
131	что в	3	3
132	событийного статуса	2	3
133	никогда не	4	3
134	отец сисой	3	3
135	приезд матери	2	3
136	а во	4	3
137	из этих	4	3
138	в третьем	4	3
139	преосвященного петра	4	3
140	событийной цепи	2	3
141	повествовательного текста	3	3
142	в свою	2	3
143	тем не	3	3
144	различного рода	3	3
145	в присутствии	2	3
146	одна из	4	3
