N	2gram	Medvedev_S_1	Problema
1	и в	3	30
2	то что	2	18
3	не только	3	18
4	том что	2	17
5	в этом	5	17
6	но и	2	13
7	таким образом	2	13
8	в том	5	12
9	в его	3	12
10	для нас	3	10
11	только в	2	9
12	в конце	2	8
13	может быть	2	7
14	не в	3	7
15	в результате	2	7
16	как бы	2	6
17	конце концов	2	6
18	и что	2	6
19	что в	2	5
20	в частности	2	4
21	в смысле	2	4
22	было бы	2	4
23	далеко не	2	4
24	как будто	2	3
25	еще не	2	3
26	то же	2	2
27	по существу	2	2
28	отношению к	2	2
29	по отношению	2	2
30	и только	3	2
