N	2gram	Tiupa_Hudo_1	OGranits
1	и в	14	13
2	и его	5	12
3	прежде всего	11	9
4	не может	7	8
5	и не	2	8
6	может быть	5	8
7	точки зрения	5	7
8	в его	8	7
9	не только	12	6
10	то что	8	6
11	только в	5	6
12	как бы	7	6
13	все же	3	5
14	с точки	3	5
15	то же	9	4
16	в своей	10	4
17	все это	2	4
18	на фоне	2	4
19	лишь в	3	4
20	мы не	2	4
21	было бы	6	4
22	но в	5	4
23	отношению к	8	3
24	что в	6	3
25	никогда не	6	3
26	но и	5	3
27	так и	13	3
28	что же	2	3
29	в их	2	3
30	по отношению	8	3
31	и все	4	3
32	превращается в	3	3
33	самом деле	5	3
34	в ее	3	3
35	да и	2	3
36	как и	9	3
37	не в	7	3
38	не столько	2	3
39	в пределах	3	3
40	в себе	11	3
41	говорить о	3	3
42	с этим	3	3
43	и для	3	3
44	еще в	3	2
45	не менее	5	2
46	для себя	3	2
47	с этой	2	2
48	в нем	3	2
49	в целом	2	2
50	своего рода	7	2
51	а не	12	2
52	говорить об	2	2
53	в связи	3	2
54	а в	7	2
55	все эти	3	2
56	или иного	2	2
57	к тому	7	2
58	и к	4	2
59	как в	8	2
60	если бы	3	2
61	не имеет	2	2
62	в том	12	2
63	том что	16	2
64	с ними	2	2
65	в своих	3	2
66	в этом	11	2
67	тем что	3	2
68	между тем	8	2
69	при этом	12	2
70	для него	10	2
71	в другом	2	2
72	автора героя	2	2
73	в действительности	4	2
74	несмотря на	4	2
75	того или	2	2
76	мы уже	4	2
77	нет ничего	2	2
78	в самом	4	2
79	героя и	5	2
80	в ней	4	2
81	а также	3	2
