N	2gram	Bakhtin_Pr_1	Myshleni
1	с помощью	7	42
2	и в	38	25
3	в том	8	23
4	на основе	6	22
5	том что	3	20
6	что в	7	17
7	таким образом	10	17
8	в основе	5	16
9	как и	7	15
10	то что	8	15
11	в его	43	15
12	в этом	15	14
13	может быть	26	13
14	в целом	3	13
15	как бы	22	10
16	и не	42	10
17	и что	2	10
18	того что	2	10
19	было бы	8	10
20	что и	2	10
21	только в	13	10
22	связи с	2	9
23	как в	4	9
24	ни в	11	9
25	того чтобы	2	8
26	не является	3	8
27	тем что	2	8
28	как мы	7	8
29	столь же	2	7
30	все эти	5	7
31	как это	2	7
32	для того	2	7
33	мы можем	6	7
34	в области	11	7
35	понятий и	2	7
36	не менее	4	6
37	с другой	7	6
38	не в	7	6
39	высшей степени	5	6
40	и у	2	6
41	совпадает с	2	6
42	не может	27	6
43	в связи	2	6
44	и на	3	6
45	в высшей	5	6
46	мы должны	2	6
47	что он	2	6
48	но не	12	6
49	со всеми	3	6
50	не только	9	6
51	все же	6	6
52	в отличие	5	6
53	точки зрения	8	6
54	все это	3	6
55	можно было	4	6
56	слова и	3	6
57	отличие от	5	6
58	так и	5	5
59	что это	2	5
60	которую мы	3	5
61	тем не	3	5
62	и как	8	5
63	но это	3	5
64	одной стороны	3	5
65	при этом	5	5
66	с одной	3	5
67	если бы	3	5
68	и к	3	5
69	о том	4	5
70	входит в	8	5
71	задачи и	2	5
72	из которых	2	5
73	могут быть	5	5
74	не могут	2	4
75	независимо от	13	4
76	в частности	2	4
77	никогда не	5	4
78	в своем	5	4
79	в какой	2	4
80	прежде всего	13	4
81	на то	2	4
82	значение слова	4	4
83	отнюдь не	19	4
84	но и	9	4
85	а в	6	4
86	сказать что	4	4
87	в то	4	4
88	с ним	5	4
89	мы имеем	2	4
90	и все	3	4
91	что оно	2	4
92	еще не	7	4
93	мы увидим	3	4
94	он не	3	4
95	приводит к	3	4
96	и это	3	4
97	там где	6	4
98	в себя	2	3
99	в свою	2	3
100	связаны с	2	3
101	на этом	2	3
102	в самом	7	3
103	имеет место	5	3
104	не можем	2	3
105	в него	2	3
106	в котором	2	3
107	связи и	3	3
108	другой стороны	4	3
109	отличается от	2	3
110	по отношению	21	3
111	с ними	4	3
112	этом отношении	2	3
113	между тем	7	3
114	во всем	2	3
115	его в	9	3
116	к которому	4	3
117	и которые	2	3
118	к этому	2	3
119	но как	2	3
120	или иной	2	3
121	не есть	6	3
122	связь с	3	3
123	дело с	6	3
124	между ними	4	3
125	в виде	2	3
126	не могли	2	3
127	слова в	7	2
128	место в	8	2
129	то же	5	2
130	мы будем	3	2
131	в этих	2	2
132	все они	5	2
133	и от	3	2
134	следовательно не	2	2
135	первый план	2	2
136	в тех	3	2
137	ни было	3	2
138	связь и	2	2
139	смысле слова	2	2
140	имеем дело	3	2
141	в нашей	2	2
142	при решении	2	2
143	хотя и	3	2
144	той или	2	2
145	в нем	15	2
146	в корне	2	2
147	отнесено к	2	2
148	поэтому в	2	2
149	и только	4	2
150	имеет дело	9	2
151	которых мы	4	2
152	и других	2	2
153	здесь мы	2	2
154	должно быть	5	2
155	и другими	3	2
156	от всех	4	2
157	в своих	2	2
158	и здесь	2	2
159	в начале	2	2
160	того или	2	2
161	в плане	7	2
162	цели и	2	2
163	но они	4	2
164	с его	2	2
165	находит свое	2	2
166	в них	5	2
167	только при	2	2
168	и во	2	2
169	этом смысле	3	2
170	ясно что	3	2
171	или иного	2	2
172	на первый	2	2
173	этот момент	2	2
174	в таком	3	2
175	одна из	2	2
176	о котором	2	2
177	все что	3	2
178	мы в	3	2
179	и потому	4	2
180	оно не	3	2
181	отношению к	19	2
182	в мире	3	2
183	слова не	3	2
184	момента в	2	2
185	в своей	7	2
186	нами в	2	2
187	тем самым	4	2
188	и эта	2	2
189	едва ли	3	2
190	и для	11	2
191	и его	16	2
192	или в	2	2
193	с другими	3	2
194	в себе	4	2
195	в чем	2	2
196	направленной на	4	2
197	а как	3	2
