N	2gram	Bakhtin_Pr_5	VeschiIm
1	не может	18	33
2	не только	10	31
3	может быть	14	29
4	и не	27	28
5	и в	35	26
6	то что	10	24
7	а не	4	20
8	не просто	2	18
9	есть только	2	17
10	что я	13	16
11	только в	6	14
12	и что	6	13
13	того что	3	13
14	по себе	4	13
15	что это	4	12
16	было бы	3	12
17	но и	14	12
18	сказать что	3	12
19	все же	8	12
20	и то	5	12
21	что же	7	11
22	таким образом	7	11
23	то же	15	10
24	уже не	3	10
25	в ней	2	10
26	как бы	31	10
27	потому что	8	10
28	в том	5	9
29	в самом	6	9
30	бы то	3	9
31	и с	12	9
32	ни было	3	9
33	прежде всего	12	9
34	то ни	3	9
35	что не	4	9
36	себя и	8	8
37	но это	6	8
38	с ее	3	8
39	в себе	5	8
40	и это	5	8
41	ничего не	3	8
42	со своим	2	7
43	что оно	2	7
44	говорить о	3	7
45	в то	11	7
46	его в	4	7
47	так как	4	7
48	том что	3	7
49	себя в	2	7
50	как раз	4	7
51	с другими	2	7
52	в этом	14	7
53	ли это	2	7
54	с собою	5	6
55	так что	5	6
56	и как	2	6
57	что они	6	6
58	но что	2	6
59	что в	6	6
60	для него	14	6
61	должно быть	3	6
62	точки зрения	7	6
63	но в	19	6
64	одно и	3	6
65	бы и	2	6
66	с ним	7	6
67	можно было	2	6
68	не менее	2	5
69	ведь и	4	5
70	в отношении	9	5
71	вообще не	2	5
72	это не	3	5
73	с этой	2	5
74	не в	10	5
75	еще не	7	5
76	для этого	2	5
77	и тут	2	5
78	а в	7	5
79	как к	5	5
80	что тут	2	5
81	ни на	2	5
82	с тем	3	5
83	в ее	3	5
84	это и	3	5
85	но не	6	5
86	в сущности	14	5
87	для себя	7	5
88	и для	8	5
89	в чем	4	5
90	я не	8	4
91	в своем	2	4
92	с другой	4	4
93	же время	10	4
94	когда я	5	4
95	из них	3	4
96	и даже	5	4
97	с этим	3	4
98	о том	2	4
99	и все	15	4
100	как и	18	4
101	так чтобы	4	4
102	во всех	3	4
103	нет и	4	4
104	что и	3	4
105	быть и	2	4
106	слово и	2	4
107	с точки	2	4
108	тем что	4	4
109	же не	4	4
110	никогда не	4	3
111	вопрос о	2	3
112	к тому	6	3
113	без всякого	2	3
114	на этом	2	3
115	было в	2	3
116	и сам	7	3
117	в нем	16	3
118	сам по	2	3
119	отношение к	6	3
120	себя самого	7	3
121	все это	14	3
122	ее как	3	3
123	их в	2	3
124	к себе	18	3
125	но как	4	3
126	и ни	2	3
127	себя как	3	3
128	или как	3	3
129	даже и	3	3
130	к другому	16	3
131	в одном	6	3
132	в жизни	2	3
133	что он	24	3
134	если я	2	3
135	тот же	4	3
136	к ней	2	3
137	как можно	2	3
138	в своей	4	3
139	вместе с	2	3
140	так и	8	3
141	да и	5	3
142	только на	4	3
143	а с	3	3
144	в той	4	3
145	самом деле	10	3
146	бы в	4	3
147	хотя бы	2	3
148	тому как	2	3
149	подобно тому	2	3
150	с самим	15	3
151	и вообще	2	3
152	я в	4	3
153	и самое	2	3
154	на вопрос	2	2
155	это уже	2	2
156	его и	3	2
157	тому что	2	2
158	сущности не	2	2
159	именно потому	2	2
160	что на	2	2
161	но зато	4	2
162	ни в	2	2
163	но все	4	2
164	мог бы	2	2
165	и та	2	2
166	знает и	5	2
167	мы уже	8	2
168	у меня	6	2
169	в виду	3	2
170	именно тем	2	2
171	я сам	7	2
172	но только	3	2
173	мы говорили	2	2
174	и вот	4	2
175	в слове	6	2
176	не мог	3	2
177	так же	7	2
178	жизнь и	2	2
179	же но	2	2
180	теперь же	2	2
181	самим собою	9	2
182	но ведь	2	2
183	а так	3	2
184	в первом	2	2
185	то есть	16	2
186	мы можем	2	2
187	на него	5	2
188	и во	3	2
189	во внутреннем	4	2
190	с собой	2	2
191	а затем	2	2
192	а я	10	2
193	то в	2	2
194	но именно	2	2
195	себе и	7	2
196	он не	13	2
197	и этот	2	2
198	но уже	2	2
199	когда он	3	2
200	как в	5	2
201	приводит к	2	2
202	все равно	2	2
203	как мы	8	2
204	и его	14	2
205	той же	2	2
206	из его	2	2
207	не случайно	2	2
208	во всяком	4	2
209	говорили что	4	2
210	отношении к	7	2
211	обойтись без	3	2
212	это было	2	2
