N	2gram	Medvedev_F_1	Stilisti
1	и в	24	42
2	как бы	6	27
3	не только	7	27
4	прежде всего	22	22
5	хотя бы	5	17
6	но и	7	15
7	то же	10	15
8	и не	20	14
9	социального общения	6	14
10	может быть	14	12
11	не может	16	12
12	точки зрения	16	11
13	как и	11	11
14	и как	3	10
15	отнюдь не	6	10
16	как мы	5	10
17	в этом	15	10
18	при этом	5	9
19	в то	9	9
20	то что	8	9
21	мы не	3	9
22	все же	3	8
23	в ней	10	8
24	таким образом	13	8
25	с тем	2	8
26	тем самым	3	8
27	в себе	3	8
28	и это	2	8
29	никогда не	4	7
30	зависимости от	3	7
31	и от	7	7
32	же время	8	7
33	и на	8	7
34	с его	4	7
35	в зависимости	2	7
36	было бы	6	7
37	а не	10	7
38	и его	10	7
39	только в	2	7
40	в которой	4	7
41	ничего не	2	7
42	не в	8	6
43	в этой	6	6
44	в свою	8	6
45	на его	2	6
46	но ведь	2	6
47	в нем	14	6
48	во всех	5	6
49	в процессе	9	6
50	так и	18	6
51	в области	3	6
52	независимо от	4	5
53	в нашем	2	5
54	и является	2	5
55	мы видели	2	5
56	и их	10	5
57	с помощью	3	5
58	а в	6	5
59	и с	8	5
60	и наконец	3	5
61	в живом	6	5
62	того или	2	5
63	как это	6	5
64	или иного	3	5
65	в его	23	5
66	вместе с	2	5
67	с точки	13	5
68	все время	2	4
69	в каждом	3	4
70	к тому	3	4
71	влияние на	3	4
72	но все	2	4
73	свою очередь	6	4
74	общения и	2	4
75	в самом	5	4
76	точка зрения	2	4
77	один из	3	4
78	все это	9	4
79	того что	5	4
80	так же	4	4
81	его в	3	4
82	бы в	3	4
83	но в	5	4
84	если бы	4	4
85	и к	4	4
86	природы или	2	4
87	у нас	5	4
88	мы увидим	4	4
89	всего в	3	4
90	на него	2	4
91	если мы	2	4
92	уже не	2	4
93	самом деле	6	4
94	и пр	17	4
95	так сказать	3	4
96	его и	2	3
97	это не	2	3
98	главным образом	4	3
99	материальной действительности	2	3
100	как таковой	6	3
101	но для	3	3
102	в целом	6	3
103	жизни и	7	3
104	от того	2	3
105	через нее	2	3
106	и вот	2	3
107	лишь в	8	3
108	и даже	3	3
109	не так	2	3
110	и здесь	6	3
111	ни на	3	3
112	что было	2	3
113	и все	6	3
114	в одном	2	3
115	если он	3	3
116	социальной группы	4	3
117	этого слова	3	3
118	в ее	8	3
119	социальной жизни	11	3
120	еще не	6	3
121	конечно не	4	3
122	мы ни	2	3
123	нет и	2	3
124	и развития	2	3
125	что и	2	3
126	отношения к	6	3
127	только на	5	3
128	на самом	7	3
129	что такое	2	3
130	в социальной	3	3
131	между ними	3	3
132	связи с	3	3
133	место в	7	2
134	в душе	2	2
135	в частности	4	2
136	вопрос о	2	2
137	литературное произведение	10	2
138	в мире	4	2
139	в том	6	2
140	нас не	2	2
141	тот или	2	2
142	но это	3	2
143	в предыдущей	2	2
144	для него	3	2
145	до конца	7	2
146	в пределах	6	2
147	в него	2	2
148	не с	2	2
149	отношение к	3	2
150	для всякого	2	2
151	целый ряд	3	2
152	в связи	4	2
153	и содержание	2	2
154	в отношении	3	2
155	не было	3	2
156	все эти	6	2
157	но эта	2	2
158	должно быть	11	2
159	его не	2	2
160	и те	2	2
161	в своих	2	2
162	даже и	2	2
163	к которому	2	2
164	в жизни	3	2
165	в основе	3	2
166	смысле этого	3	2
167	от их	2	2
168	от чего	2	2
169	с этим	2	2
170	ясно что	3	2
171	значение и	3	2
172	человек не	3	2
173	что он	3	2
174	в идеологическом	6	2
175	к миру	2	2
176	но не	3	2
177	одной из	2	2
178	материалом и	2	2
179	как таковое	2	2
180	и потому	9	2
181	не есть	2	2
182	войти в	2	2
183	в своей	11	2
184	сих пор	6	2
185	бытия в	3	2
186	как в	8	2
187	здесь не	3	2
188	перейти к	2	2
189	с ним	2	2
190	у них	3	2
191	как с	2	2
