N	2gram	Tiupa_Disk_1	FransuaR
1	и в	16	41
2	то есть	20	20
3	таким образом	3	19
4	в этом	15	15
5	и все	2	14
6	как и	16	14
7	в этой	2	13
8	то же	7	13
9	в его	7	12
10	прежде всего	11	11
11	в том	23	11
12	как мы	2	11
13	в себе	7	11
14	так и	8	10
15	в то	3	10
16	в качестве	34	9
17	и его	2	9
18	не в	7	9
19	же время	4	9
20	но и	14	9
21	и т.п	12	9
22	в своем	6	9
23	что в	4	9
24	то что	5	8
25	но в	8	8
26	в них	4	7
27	как бы	5	7
28	в нем	9	7
29	и не	11	7
30	в эпоху	5	7
31	это не	3	6
32	есть в	2	6
33	для него	4	6
34	только в	7	6
35	о том	8	6
36	уже в	2	5
37	к этому	2	5
38	не только	28	5
39	и к	4	5
40	на этом	2	5
41	что и	3	5
42	как в	10	5
43	в году	2	5
44	а в	5	5
45	точки зрения	3	5
46	потому что	4	5
47	том числе	2	4
48	хотя и	2	4
49	том что	19	4
50	в сущности	2	4
51	может быть	17	4
52	в виду	2	4
53	целый ряд	2	4
54	и на	5	4
55	мира в	3	4
56	и есть	2	3
57	того же	3	3
58	в одном	2	3
59	и потому	3	3
60	это в	2	3
61	свою очередь	3	3
62	в своей	5	3
63	в свою	3	3
64	при этом	13	3
65	из них	3	3
66	например в	2	3
67	о нем	2	3
68	что он	4	3
69	с ее	2	3
70	во всех	5	3
71	в форме	2	3
72	в их	5	3
73	не может	9	3
74	не было	7	3
75	и по	2	3
76	тем что	3	3
77	так сказать	2	3
78	перед нами	3	2
79	с его	4	2
80	именно в	3	2
81	и др	2	2
82	никогда не	2	2
83	числе и	2	2
84	и во	2	2
85	в одной	3	2
86	с этим	3	2
87	человека в	2	2
88	и ее	2	2
89	о котором	2	2
90	одновременно и	2	2
91	к тому	5	2
92	в историческом	2	2
93	отношению к	9	2
94	и как	6	2
95	в построении	2	2
96	более или	2	2
97	своего времени	2	2
98	по своему	3	2
99	они и	3	2
100	точка зрения	2	2
101	в себя	5	2
102	отношение к	4	2
103	еще не	14	2
104	того что	3	2
105	своего рода	8	2
106	одного из	2	2
107	значительной степени	2	2
108	свидетельствует о	2	2
109	на том	2	2
110	одной из	4	2
111	картина мира	3	2
112	а также	8	2
113	дело не	2	2
114	оно не	2	2
115	не есть	2	2
116	в процессе	5	2
117	или менее	2	2
118	по отношению	9	2
119	в особенности	4	2
120	его как	2	2
121	то ли	2	2
122	в значительной	2	2
123	а не	22	2
124	уже не	4	2
125	роль в	7	2
126	или в	2	2
127	в данном	5	2
128	во всяком	2	2
129	в литературе	2	2
130	в которых	4	2
131	и т.д	4	2
132	также и	3	2
133	далеко не	10	2
134	в каждой	3	2
135	это прежде	3	2
136	мы имеем	2	2
137	это было	2	2
