N	2gram	Bakhtin_Fr_8	Psycholo
1	то что	3	37
2	и в	56	30
3	в том	13	27
4	что в	5	24
5	потому что	6	23
6	том что	8	21
7	для того	2	20
8	таким образом	17	20
9	того чтобы	4	20
10	как бы	11	19
11	что он	2	17
12	не только	8	16
13	в самом	9	14
14	в этом	14	14
15	так же	2	13
16	как раз	2	13
17	то есть	24	13
18	одной стороны	2	12
19	в сущности	8	12
20	вместе с	2	12
21	с одной	4	12
22	если бы	2	11
23	может быть	3	11
24	о том	4	10
25	никогда не	5	9
26	с другой	2	9
27	не может	2	9
28	и то	2	9
29	сказать что	3	9
30	так как	4	9
31	с тем	2	8
32	что это	4	8
33	не в	3	8
34	а не	2	8
35	при этом	4	8
36	самом деле	2	8
37	мы видим	6	8
38	в нем	8	7
39	и как	2	7
40	но не	5	7
41	все же	2	7
42	то же	11	7
43	действующих лиц	2	7
44	точки зрения	6	7
45	в основе	4	7
46	уже в	2	6
47	в своем	3	6
48	что она	2	6
49	как и	5	6
50	и для	2	6
51	но и	9	6
52	в совершенно	4	6
53	что все	4	6
54	и не	9	6
55	и его	12	6
56	и здесь	3	6
57	мы уже	10	6
58	только не	2	5
59	несмотря на	2	5
60	как мы	7	5
61	и потому	4	5
62	в этой	6	5
63	что они	2	5
64	еще не	10	5
65	до сих	8	5
66	было бы	2	5
67	указывает что	2	5
68	был бы	3	5
69	когда он	2	5
70	один из	5	5
71	сих пор	8	5
72	другой стороны	2	5
73	рядом с	3	5
74	в своих	4	5
75	в себе	4	5
76	но в	6	5
77	только в	9	5
78	бы в	3	5
79	казалось бы	3	4
80	в результате	5	4
81	в частности	7	4
82	и все	6	4
83	прежде всего	6	4
84	говорит о	2	4
85	и к	4	4
86	в своей	2	4
87	в ней	4	4
88	в его	18	4
89	в них	11	4
90	только на	2	4
91	а в	2	4
92	мы найдем	2	4
93	там где	3	4
94	из которых	2	4
95	на одном	2	4
96	и совершенно	2	4
97	не могли	2	4
98	и другие	5	3
99	первый план	2	3
100	у него	7	3
101	это не	2	3
102	не как	2	3
103	это в	2	3
104	к этому	2	3
105	вовсе не	6	3
106	что на	2	3
107	видим что	2	3
108	так что	3	3
109	одна из	4	3
110	для него	2	3
111	он говорит	2	3
112	он не	5	3
113	в ее	6	3
114	что и	3	3
115	на его	6	3
116	ни в	2	3
117	данном случае	2	3
118	так и	13	3
119	в их	3	3
120	так например	2	3
121	времени и	4	3
122	в той	6	3
123	и о	3	3
124	и наконец	3	3
125	целый ряд	2	3
126	той же	6	3
127	мы не	2	3
128	но он	3	3
129	и на	7	3
130	в каком	2	3
131	в данном	2	3
132	в другом	3	3
133	в этих	11	3
134	в которой	4	3
135	с этой	2	2
136	перед нами	3	2
137	в отношении	5	2
138	с его	5	2
139	связи с	6	2
140	в одном	2	2
141	что эти	2	2
142	с помощью	3	2
143	можно сказать	2	2
144	он был	12	2
145	до конца	11	2
146	в романе	21	2
147	когда в	2	2
148	и при	2	2
149	слов и	3	2
150	в большей	3	2
151	в центре	2	2
152	по преимуществу	2	2
153	и эта	2	2
154	это очень	2	2
155	той или	2	2
156	в качестве	4	2
157	в котором	2	2
158	себе и	2	2
159	еще один	2	2
160	образом и	3	2
161	из них	2	2
162	во всех	8	2
163	и до	10	2
164	ни одного	2	2
165	в форме	3	2
166	все это	8	2
167	которых он	2	2
168	того как	2	2
169	мы находим	3	2
170	и хотя	2	2
171	с точки	2	2
172	и даже	8	2
173	между ними	2	2
174	в которых	2	2
175	никогда еще	2	2
176	и с	8	2
177	и самый	3	2
178	в нашем	2	2
179	он дает	2	2
180	как например	3	2
181	совсем не	2	2
182	во всем	4	2
183	в то	12	2
184	ту же	4	2
185	все эти	15	2
186	дело в	2	2
187	нет ни	2	2
188	на самом	2	2
