N	2gram	Bakhtin_KF_1	Problema
1	и не	26	28
2	не только	5	24
3	только в	16	23
4	в виде	2	22
5	вовсе не	7	21
6	в том	6	20
7	и в	24	20
8	ни в	12	17
9	все эти	10	16
10	то что	7	15
11	потому что	2	15
12	было бы	8	14
13	той или	3	14
14	но и	9	14
15	точки зрения	12	14
16	или иной	2	13
17	не в	12	13
18	не есть	20	12
19	в себе	21	12
20	том что	4	12
21	прежде всего	2	11
22	по себе	2	11
23	с точки	9	11
24	не менее	3	10
25	тем не	2	10
26	отнюдь не	6	10
27	в качестве	2	10
28	так и	2	10
29	и его	17	10
30	едва ли	2	10
31	может быть	45	9
32	все это	10	9
33	в этом	14	9
34	если бы	8	8
35	что он	2	8
36	и все	7	8
37	но в	5	8
38	это не	10	7
39	ясно что	3	7
40	еще не	4	7
41	мы не	3	7
42	и потому	2	7
43	и тем	3	7
44	то же	5	7
45	именно в	5	7
46	а не	17	7
47	в ней	3	7
48	здесь не	3	7
49	хотя бы	4	7
50	всех этих	3	6
51	для нас	4	6
52	как и	5	6
53	но это	6	6
54	по своему	3	6
55	при этом	4	6
56	в виду	3	6
57	в данном	2	6
58	в каком	4	6
59	мы имеем	5	6
60	но не	12	5
61	на самом	3	5
62	в нем	28	5
63	в смысле	6	5
64	в ее	16	5
65	жизни и	8	5
66	как в	2	5
67	не может	27	5
68	уже не	7	5
69	ничего общего	2	5
70	о том	3	5
71	и ни	3	5
72	времени и	4	4
73	с тем	2	4
74	и есть	9	4
75	и для	9	4
76	в одном	4	4
77	и ее	2	4
78	это и	2	4
79	в этой	2	4
80	тем самым	4	4
81	в своей	10	4
82	как бы	9	4
83	не имеет	5	4
84	во всех	11	4
85	и только	6	4
86	а в	4	4
87	что не	3	4
88	жизнь и	2	4
89	в то	3	4
90	с ним	5	4
91	и весь	2	3
92	независимо от	3	3
93	это уже	2	3
94	были бы	2	3
95	если не	2	3
96	в жизни	2	3
97	этом смысле	3	3
98	или иного	3	3
99	для него	8	3
100	здесь мы	4	3
101	и как	2	3
102	но все	5	3
103	это есть	2	3
104	общее и	3	3
105	сознания и	3	3
106	себе и	3	3
107	совершенно не	6	3
108	конечно не	7	3
109	в его	40	3
110	и этот	3	3
111	здесь нет	2	3
112	что и	7	3
113	что в	4	3
114	дело не	2	3
115	бы и	3	3
116	в своем	16	3
117	не было	8	3
118	самом деле	3	3
119	для того	3	3
120	из которых	2	3
121	к нему	12	3
122	и на	3	3
123	тем что	3	3
124	имеем в	2	3
125	но как	5	3
126	в сознании	2	3
127	в другом	3	3
128	того или	3	3
129	а это	2	3
130	в области	2	3
131	в конкретной	2	2
132	из себя	8	2
133	для этого	2	2
134	есть именно	2	2
135	другое дело	2	2
136	в корне	2	2
137	меня в	3	2
138	для себя	5	2
139	нет и	3	2
140	ему в	2	2
141	при условии	2	2
142	и может	3	2
143	со всеми	2	2
144	в это	2	2
145	кажется что	2	2
146	нет в	4	2
147	что это	3	2
148	как предмет	2	2
149	ни одна	2	2
150	он не	6	2
151	в котором	24	2
152	все же	5	2
153	с ее	2	2
154	себя в	8	2
155	не будет	2	2
156	бы быть	5	2
157	дело с	2	2
158	жизни в	5	2
159	но эта	5	2
160	чтобы не	2	2
161	ясно и	3	2
162	мы здесь	2	2
163	того чтобы	2	2
164	ни было	4	2
165	ни к	2	2
166	с ними	3	2
167	смысле не	2	2
168	и когда	2	2
169	это можно	2	2
170	говорить о	2	2
171	и то	2	2
172	во всем	7	2
173	и совершенно	3	2
174	его в	5	2
175	и это	12	2
176	дело в	2	2
177	весь мир	2	2
178	в чем	4	2
179	еще более	2	2
180	это было	2	2
