N	2gram	Tiupa_Narr_1	EvropaiC
1	в том	18	31
2	и в	19	24
3	том что	14	20
4	все эти	2	19
5	не может	10	18
6	то что	11	17
7	может быть	25	15
8	все же	7	15
9	точки зрения	10	13
10	в своем	2	12
11	самом деле	2	12
12	в этом	17	12
13	между тем	3	11
14	отношению к	6	10
15	как бы	4	10
16	по отношению	7	10
17	так и	9	10
18	при этом	9	9
19	в результате	2	9
20	как и	7	9
21	что в	3	9
22	не в	14	8
23	так же	2	8
24	и все	2	8
25	с точки	2	8
26	не менее	3	7
27	к тому	7	7
28	приобщение к	2	7
29	но и	23	7
30	и не	20	7
31	из этих	3	7
32	по своей	3	7
33	о том	6	7
34	что он	6	7
35	по существу	2	7
36	в силу	4	7
37	или менее	2	7
38	более или	2	7
39	должна быть	2	6
40	с другой	8	6
41	в этой	5	6
42	несмотря на	2	6
43	отличается от	4	6
44	и на	3	6
45	что касается	2	6
46	еще не	7	6
47	тогда как	12	6
48	в мире	9	6
49	только в	4	6
50	именно в	6	5
51	что это	3	5
52	столь же	3	5
53	тому же	5	5
54	у него	4	5
55	другой стороны	4	5
56	как к	2	5
57	и с	4	5
58	его в	2	5
59	но в	6	5
60	в то	3	5
61	в его	9	5
62	не только	32	5
63	не будет	3	5
64	и для	2	5
65	но все	4	5
66	между двумя	5	5
67	в себе	8	5
68	как будто	3	5
69	далеко не	5	5
70	никогда не	3	4
71	та же	2	4
72	тем не	3	4
73	одним из	2	4
74	хотя и	3	4
75	отношение к	2	4
76	из них	3	4
77	между собой	2	4
78	связи с	4	4
79	иначе говоря	6	4
80	он не	3	4
81	не есть	3	4
82	совершенно не	2	4
83	то же	4	4
84	а с	3	4
85	и сейчас	2	4
86	из которых	4	4
87	хотя бы	4	4
88	в таком	2	4
89	и т.д	7	4
90	в области	2	4
91	может не	3	3
92	же как	3	3
93	с одной	7	3
94	так или	2	3
95	в нем	4	3
96	данном случае	4	3
97	то ни	3	3
98	а в	11	3
99	это не	2	3
100	каждый из	2	3
101	что мы	2	3
102	и потому	2	3
103	прежде всего	4	3
104	как известно	2	3
105	даже в	2	3
106	или иначе	3	3
107	что по	2	3
108	в данном	5	3
109	тем более	2	3
110	в связи	2	3
111	отличие от	5	3
112	не то	2	3
113	то они	2	3
114	же не	4	3
115	свою очередь	3	2
116	независимо от	2	2
117	в общей	2	2
118	в частности	14	2
119	себя и	2	2
120	точку зрения	4	2
121	что у	2	2
122	что на	2	2
123	как мы	3	2
124	сводится к	3	2
125	для него	2	2
126	что они	3	2
127	же время	4	2
128	в свою	3	2
129	одной стороны	7	2
130	к нему	5	2
131	ни для	7	2
132	в ней	3	2
133	с ее	3	2
134	бы то	3	2
135	на том	3	2
136	и до	2	2
137	имеет место	4	2
138	те же	4	2
139	они не	2	2
140	ни было	3	2
141	во втором	4	2
142	одну из	2	2
143	одно из	2	2
144	но как	2	2
145	говорить о	2	2
146	не было	2	2
147	все то	2	2
148	то есть	19	2
149	в основе	5	2
150	отнюдь не	5	2
151	на первый	2	2
152	то в	6	2
153	одна из	3	2
154	но не	5	2
155	она не	2	2
156	было бы	4	2
157	жизни и	3	2
158	не от	2	2
159	в сущности	3	2
160	на него	3	2
161	в себя	6	2
162	тем самым	6	2
163	между ними	2	2
164	совершенно иной	2	2
165	и ее	2	2
166	этого слова	2	2
167	есть в	2	2
168	и только	2	2
