N	3gram	Trubetskoy_1	VerxiiNi
1	вместе с тем	2	8
2	с одной стороны	2	7
3	во всяком случае	2	6
4	с точки зрения	8	6
5	до сих пор	8	5
6	более или менее	7	5
7	а с другой	2	5
8	для того чтобы	7	5
9	друг с другом	9	5
10	о том что	4	4
11	к тому же	5	4
12	но все же	2	4
13	в конце концов	4	3
14	так же как	3	3
15	в связи с	3	3
16	тем не менее	4	3
17	в том что	15	3
18	с течением времени	4	3
19	так или иначе	5	3
20	то ни было	2	2
21	таким образом в	3	2
22	на то что	7	2
23	по сравнению с	5	2
24	в том виде	2	2
25	бы то ни	2	2
26	первое время после	2	2
27	то ясно что	4	2
28	может быть и	4	2
29	в то же	2	2
30	между этими двумя	2	2
31	заключает в себе	2	2
32	то же время	2	2
33	как бы то	2	2
34	ничего общего с	2	2
