N	2gram	Propp_Isto_3	Psycholo
1	в том	9	37
2	и в	22	32
3	и что	2	22
4	том что	8	21
5	то что	7	21
6	таким образом	10	21
7	потому что	3	21
8	что в	15	20
9	так же	3	18
10	может быть	11	18
11	что и	9	17
12	не может	4	17
13	точки зрения	2	17
14	что она	5	16
15	что он	9	13
16	при этом	2	13
17	то же	6	13
18	в этом	17	13
19	не только	14	12
20	так как	7	12
21	с тем	2	11
22	было бы	3	11
23	при помощи	3	10
24	как и	3	10
25	и т	16	10
26	но и	12	10
27	и не	12	10
28	никогда не	3	9
29	как в	2	9
30	тем что	4	9
31	не менее	5	8
32	не в	4	8
33	дело с	2	8
34	той же	2	8
35	того что	5	8
36	к тому	3	7
37	мы знаем	2	7
38	и как	3	7
39	такой же	2	7
40	а не	6	7
41	все эти	4	7
42	и его	4	7
43	сказать что	3	7
44	как будто	2	7
45	только в	4	7
46	что они	8	7
47	все время	2	6
48	в этой	5	6
49	он не	5	6
50	целый ряд	3	6
51	о том	3	6
52	если бы	6	6
53	что у	3	5
54	на все	2	5
55	в ней	2	5
56	далеко не	3	5
57	до сих	5	5
58	сих пор	5	5
59	на самом	2	5
60	только на	2	5
61	и даже	2	5
62	есть только	2	5
63	и на	4	5
64	в то	2	5
65	и более	2	4
66	же как	2	4
67	из которого	2	4
68	в жизни	2	4
69	утверждать что	2	4
70	что на	4	4
71	тем не	5	4
72	как это	4	4
73	в чем	3	4
74	совершенно не	2	4
75	в нем	9	4
76	все же	5	4
77	из них	7	4
78	жизни и	2	4
79	образом и	2	4
80	данном случае	3	4
81	а в	6	4
82	и все	3	4
83	мы имеем	19	4
84	мы видим	8	4
85	не имеет	2	4
86	и для	2	4
87	в данном	4	4
88	о ней	2	4
89	и с	4	4
90	знаем что	2	4
91	могут быть	5	4
92	с этим	8	4
93	в целом	3	4
94	ту же	2	4
95	и это	2	4
96	ничего не	6	4
97	между тем	2	4
98	состоит в	3	3
99	в частности	5	3
100	но он	4	3
101	с другой	7	3
102	точно так	2	3
103	представление о	3	3
104	показывает что	5	3
105	и к	3	3
106	видим что	4	3
107	так что	5	3
108	в свою	4	3
109	например в	2	3
110	на это	2	3
111	относится к	2	3
112	один из	5	3
113	то это	2	3
114	так и	2	3
115	и так	2	3
116	и ее	3	3
117	на этом	4	3
118	еще более	2	3
119	образом в	2	3
120	этот вопрос	2	3
121	и вот	2	3
122	время как	2	3
123	что не	2	3
124	и он	2	3
125	то время	2	3
126	он все	3	3
127	в которых	2	3
128	и то	2	3
129	мы должны	7	3
130	но в	10	3
131	мы можем	6	3
132	как только	2	2
133	в самых	2	2
134	в них	6	2
135	все что	3	2
136	это не	6	2
137	и от	3	2
138	в одном	2	2
139	они в	2	2
140	на одну	2	2
141	и говорит	9	2
142	а я	2	2
143	имеет своей	2	2
144	во всяком	2	2
145	и эти	3	2
146	и здесь	7	2
147	ни в	2	2
148	еще не	10	2
149	но не	7	2
150	на другой	2	2
151	она не	4	2
152	вовсе не	2	2
153	на его	3	2
154	должен был	3	2
155	не имеют	2	2
156	к нему	5	2
157	превращение в	2	2
158	в его	3	2
159	не вполне	6	2
160	в него	2	2
161	всяком случае	2	2
162	здесь дело	2	2
163	для нее	2	2
164	это делается	2	2
165	в этих	11	2
166	отношение к	4	2
167	для нас	4	2
168	на том	3	2
169	вместе с	9	2
170	себе и	2	2
171	так в	6	2
172	другой стороны	7	2
173	в особенности	2	2
174	т д	15	2
175	не было	2	2
176	после того	2	2
177	роль в	2	2
178	из того	2	2
179	здесь мы	5	2
180	и у	3	2
181	в других	4	2
182	но это	3	2
183	частный случай	2	2
184	их в	3	2
185	ли это	2	2
186	имеем в	4	2
187	в русском	2	2
188	с того	2	2
189	в свете	5	2
190	там где	7	2
191	что по	2	2
192	всю жизнь	2	2
