N	2gram	Tiupa_Anal_3	Dialekti
1	не есть	4	54
2	и не	12	27
3	а не	9	26
4	точки зрения	3	25
5	и в	18	24
6	не только	22	23
7	по себе	4	20
8	не может	2	19
9	ничего не	3	17
10	то что	2	14
11	с точки	2	14
12	может быть	9	13
13	таким образом	4	13
14	и даже	8	13
15	что он	4	13
16	не менее	4	11
17	тем не	2	10
18	отнюдь не	4	10
19	только не	3	10
20	в сущности	5	10
21	но и	13	9
22	что она	2	9
23	есть не	2	9
24	прежде всего	5	8
25	и как	4	8
26	что мы	2	8
27	том что	12	8
28	в этом	14	8
29	что в	9	7
30	никогда не	5	7
31	в самом	5	7
32	в особенности	3	7
33	это и	2	7
34	как и	14	7
35	как раз	7	7
36	все это	3	6
37	о том	6	6
38	и все	2	6
39	об этом	2	6
40	что и	5	6
41	то же	3	6
42	самом деле	2	6
43	в том	9	5
44	хотя и	2	5
45	и его	13	5
46	в то	3	5
47	как это	3	5
48	в них	2	5
49	по крайней	4	5
50	и к	4	5
51	было бы	3	5
52	он не	6	5
53	крайней мере	4	5
54	так и	14	5
55	уже не	5	5
56	что не	3	5
57	мы не	3	5
58	личности и	2	5
59	только в	2	5
60	с другой	7	4
61	это не	2	4
62	или иной	5	4
63	сама по	2	4
64	к тому	6	4
65	сказать что	2	4
66	субъекта и	2	4
67	говорить о	3	4
68	говорит о	2	4
69	жизнь и	3	4
70	тому как	2	4
71	подобно тому	3	4
72	для него	6	4
73	перед нами	4	3
74	не было	3	3
75	все же	4	3
76	и без	3	3
77	в своем	4	3
78	и от	2	3
79	его как	3	3
80	не в	6	3
81	же время	3	3
82	одной стороны	2	3
83	в нем	2	3
84	с одной	2	3
85	все эти	2	3
86	сравнении с	2	3
87	и на	4	3
88	мере в	2	3
89	с этим	3	3
90	он и	3	3
91	во всем	3	3
92	тем что	2	3
93	мира и	2	3
94	на себя	2	3
95	одна из	2	3
96	не будет	3	3
97	как бы	10	3
98	и прежде	2	3
99	тем самым	4	3
100	в сравнении	2	3
101	той же	5	3
102	в слове	5	3
103	и ее	2	3
104	в частности	12	2
105	из этих	3	2
106	о себе	2	2
107	который не	2	2
108	тому же	3	2
109	еще не	6	2
110	при этом	11	2
111	несмотря на	2	2
112	например в	2	2
113	той или	3	2
114	всяком случае	2	2
115	совершенно не	2	2
116	не видно	2	2
117	уже по	2	2
118	другой стороны	5	2
119	еще и	3	2
120	именно в	3	2
121	тогда не	2	2
122	и вот	2	2
123	и по	2	2
124	его не	3	2
125	а в	10	2
126	однако что	4	2
127	в ней	2	2
128	и здесь	2	2
129	от его	2	2
130	ко второму	3	2
131	в первом	2	2
132	и потому	2	2
133	когда мы	2	2
134	но в	2	2
135	я и	3	2
136	а для	2	2
137	истории не	2	2
138	но они	2	2
139	с его	8	2
140	в их	6	2
141	личности в	3	2
142	же в	2	2
143	но как	3	2
144	то в	2	2
145	но не	7	2
146	со всеми	2	2
147	только к	2	2
148	тех пор	2	2
149	со стороны	9	2
150	себя в	4	2
151	так в	3	2
152	и он	2	2
153	и для	2	2
154	тот или	2	2
155	в данном	4	2
156	во всяком	2	2
157	могут быть	2	2
158	в себе	2	2
159	в его	7	2
