N	2gram	Bakhtin_Fr_8	VrazhdaK
1	в году	3	18
2	не только	8	9
3	в этом	14	8
4	и в	56	8
5	но и	9	7
6	что в	5	7
7	то что	3	7
8	и все	6	7
9	в котором	2	6
10	в нем	8	6
11	все же	2	6
12	и даже	8	6
13	в романе	21	6
14	как и	5	6
15	но в	6	6
16	и с	8	6
17	то же	11	5
18	не было	5	5
19	и не	9	5
20	у него	7	5
21	между тем	3	5
22	в то	12	5
23	же время	10	5
24	во многом	2	4
25	уже в	2	4
26	как бы	11	4
27	все это	8	4
28	целый ряд	2	4
29	это не	2	4
30	что он	2	4
31	так же	2	4
32	с ним	2	4
33	в своих	4	4
34	может быть	3	4
35	при этом	4	4
36	несмотря на	2	4
37	о том	4	4
38	в ней	4	4
39	с его	5	3
40	связи с	6	3
41	в своем	3	3
42	и во	2	3
43	о себе	2	3
44	в связи	3	3
45	к этому	2	3
46	в те	3	3
47	он был	12	3
48	в том	13	3
49	и его	12	3
50	том что	8	3
51	и как	2	3
52	в его	18	3
53	далеко не	2	3
54	его в	2	3
55	но он	3	3
56	и о	3	3
57	одним из	5	3
58	он не	5	3
59	и т.п	11	2
60	в известном	2	2
61	в своей	2	2
62	из них	2	2
63	никогда не	5	2
64	вместе с	2	2
65	в них	11	2
66	как раз	2	2
67	не может	2	2
68	а в	2	2
69	таким образом	17	2
70	начиная с	2	2
71	рядом с	3	2
72	это в	2	2
73	но это	2	2
74	в той	6	2
75	уже не	3	2
76	не мог	3	2
77	с точки	2	2
78	этот момент	2	2
79	в этой	6	2
80	и то	2	2
81	их в	4	2
82	точки зрения	6	2
83	и ее	4	2
84	в себе	4	2
85	для него	2	2
86	еще не	10	2
87	во время	5	2
88	в мире	2	2
89	одна из	4	2
90	к ним	2	2
91	в эту	2	2
92	а также	3	2
