N	3gram	Losev_Prob_3	Myshleni
1	в том что	9	19
2	по сравнению с	2	14
3	с точки зрения	2	10
4	мы могли бы	3	9
5	в то время	4	6
6	то же самое	7	6
7	можно сказать что	2	6
8	можно было бы	3	5
9	то время как	4	5
10	и тем самым	2	5
11	заключается в том	3	5
12	как мы видели	2	4
13	потому что он	4	4
14	в первую очередь	3	3
15	до сих пор	2	3
16	в том смысле	3	2
17	и то что	7	2
18	в этом случае	5	2
19	когда мы говорим	3	2
20	с другой стороны	5	2
21	в связи с	7	2
22	только то что	2	2
23	именно потому что	3	2
24	не может быть	5	2
25	заключается только в	2	2
26	том смысле что	3	2
