N	2gram	Bakhtin_Pr_3	Mirosoze
1	и в	34	46
2	у достоевского	13	34
3	в нем	19	22
4	у него	4	22
5	может быть	19	21
6	в этом	16	20
7	никогда не	8	18
8	для него	13	18
9	и не	29	18
10	не только	10	18
11	но и	12	15
12	не может	19	15
13	как и	18	13
14	а не	9	13
15	прежде всего	15	12
16	друг друга	2	12
17	потому что	12	12
18	не было	2	11
19	в ней	3	11
20	но он	3	11
21	и он	2	11
22	та же	2	10
23	но в	16	10
24	он не	15	10
25	в себе	6	10
26	не в	9	9
27	не знает	6	9
28	переходит в	2	8
29	но это	4	8
30	как бы	27	8
31	в своем	2	8
32	для достоевского	4	8
33	так как	4	8
34	отношение к	6	8
35	в мире	4	7
36	что он	23	7
37	и к	12	7
38	ивана карамазова	3	7
39	и потому	2	7
40	как в	4	7
41	хотя бы	5	7
42	и для	8	7
43	он сам	5	6
44	вопрос о	2	6
45	что это	5	6
46	так же	8	6
47	того что	5	6
48	жизни и	3	6
49	не могу	3	6
50	него нет	2	5
51	то же	14	5
52	я не	7	5
53	бы и	4	5
54	в отношении	9	5
55	что все	4	5
56	и вот	5	5
57	совсем не	3	5
58	в самом	8	5
59	один из	2	5
60	те же	2	5
61	это не	5	5
62	в конце	5	5
63	и все	19	5
64	во всем	3	5
65	к тому	5	5
66	то что	11	5
67	в своей	3	5
68	и его	16	5
69	в его	22	5
70	и это	4	5
71	что в	7	4
72	тому что	2	4
73	для этого	3	4
74	до конца	3	4
75	нет в	2	4
76	его отношение	4	4
77	что у	6	4
78	самого себя	2	4
79	с его	6	4
80	в жизни	2	4
81	великого инквизитора	2	4
82	мысль что	2	4
83	том что	3	4
84	что и	5	4
85	так и	6	4
86	т е	12	4
87	уже не	2	4
88	к чему	2	4
89	жизнь и	2	4
90	настасья филипповна	5	4
91	человек в	2	3
92	себя и	8	3
93	и от	5	3
94	не знал	2	3
95	в каждом	3	3
96	в такой	3	3
97	ни в	4	3
98	в том	3	3
99	высшей степени	3	3
100	с самим	14	3
101	что они	6	3
102	он хочет	4	3
103	было в	2	3
104	всю жизнь	2	3
105	не для	2	3
106	не мог	5	3
107	и на	6	3
108	сказать что	2	3
109	и с	15	3
110	творчестве достоевского	5	3
111	о том	2	3
112	его в	4	3
113	в высшей	3	3
114	как он	3	3
115	с ним	8	3
116	и должно	2	3
117	к которому	2	3
118	если бы	4	3
119	в них	2	3
120	этого необходимо	2	3
121	к другому	20	3
122	и во	3	3
123	с которым	7	3
124	это и	2	3
125	не бывает	2	3
126	все равно	4	3
127	той же	2	3
128	тем что	4	3
129	он в	4	3
130	с другим	11	3
131	только в	6	3
132	отношении к	7	3
133	в творчестве	3	3
134	только с	3	3
135	в чем	5	3
136	уже в	3	2
137	но на	4	2
138	ставрогина к	2	2
139	и мир	2	2
140	в человеке	2	2
141	или иной	2	2
142	все время	5	2
143	я и	2	2
144	да и	4	2
145	в братьях	3	2
146	так что	5	2
147	тут не	3	2
148	и если	2	2
149	из подполья	36	2
150	на его	4	2
151	другого человека	5	2
152	но для	3	2
153	хотя и	3	2
154	же и	2	2
155	отношением к	4	2
156	к нему	14	2
157	от этой	2	2
158	мышкина и	3	2
159	по отношению	5	2
160	как к	4	2
161	чем не	2	2
162	достоевского и	3	2
163	лишь в	5	2
164	должно быть	3	2
165	а в	5	2
166	увидим что	2	2
167	к себе	17	2
168	не о	4	2
169	точки зрения	8	2
170	самим собою	9	2
171	другим и	3	2
172	но этот	2	2
173	бы в	3	2
174	человек и	2	2
175	нет ни	2	2
176	между тем	3	2
177	на этом	4	2
178	поэтому он	3	2
179	федора павловича	2	2
180	него и	2	2
181	были бы	2	2
182	его с	4	2
183	бы его	4	2
184	по себе	3	2
185	его нельзя	2	2
186	то в	2	2
187	в обычном	2	2
188	достоевского нет	3	2
189	смердяков и	3	2
190	и своего	3	2
191	и что	5	2
192	тот же	2	2
193	мы увидим	2	2
194	себе и	5	2
195	в сущности	11	2
196	во всех	2	2
197	уже все	2	2
198	он уже	3	2
199	к ней	2	2
200	противоречии с	2	2
201	еще в	3	2
202	сам не	3	2
203	с таким	4	2
204	отношению к	6	2
205	вместе с	4	2
206	быть и	2	2
207	к самому	3	2
208	что же	8	2
209	если я	2	2
210	бы не	2	2
211	другого в	2	2
212	еще более	2	2
213	но с	2	2
214	к своему	5	2
215	что не	7	2
216	ни одного	5	2
217	тому как	2	2
218	то все	2	2
219	подобно тому	2	2
220	сознания и	3	2
221	как будто	7	2
222	достоевского в	3	2
223	которые в	2	2
224	братьях карамазовых	3	2
225	в которой	2	2
226	ничего не	4	2
227	много раз	2	2
