N	2gram	Losev_Prob_3	FransuaR
1	и в	44	41
2	то есть	34	20
3	таким образом	9	19
4	в этом	17	15
5	и все	3	14
6	как и	10	14
7	в этой	3	13
8	то же	13	13
9	все эти	7	13
10	мы уже	4	12
11	в его	9	12
12	прежде всего	3	11
13	в том	21	11
14	как мы	8	11
15	в себе	8	11
16	никто не	2	10
17	так и	10	10
18	все это	5	10
19	в то	9	10
20	в качестве	3	9
21	и его	5	9
22	не в	13	9
23	но и	10	9
24	в своем	5	9
25	что в	8	9
26	в конце	5	8
27	и от	9	8
28	по существу	2	8
29	то что	23	8
30	но в	12	8
31	вовсе не	37	7
32	как бы	9	7
33	в нем	9	7
34	и не	35	7
35	все они	2	6
36	это не	9	6
37	ни в	8	6
38	есть в	3	6
39	для него	3	6
40	и до	2	6
41	только в	19	6
42	о том	6	6
43	уже в	3	5
44	не только	14	5
45	и к	6	5
46	в ней	5	5
47	вместе с	2	5
48	что и	9	5
49	мы видели	2	5
50	как в	5	5
51	и у	2	5
52	а в	5	5
53	и для	2	5
54	так же	5	5
55	точки зрения	5	5
56	и это	9	5
57	потому что	25	5
58	что это	3	4
59	хотя и	5	4
60	и здесь	5	4
61	том что	12	4
62	но все	3	4
63	было бы	8	4
64	может быть	28	4
65	он не	8	4
66	в виду	10	4
67	и с	9	4
68	конце концов	3	4
69	ничего не	3	4
70	поэтому и	2	3
71	и другие	3	3
72	и есть	5	3
73	в отношении	2	3
74	что у	3	3
75	того же	2	3
76	и потому	7	3
77	это в	2	3
78	но это	8	3
79	совсем не	2	3
80	в своей	5	3
81	есть и	2	3
82	кроме того	3	3
83	при этом	4	3
84	но именно	2	3
85	из них	2	3
86	ii гл	2	3
87	что он	9	3
88	с ее	2	3
89	жизни и	6	3
90	во всех	2	3
91	в их	2	3
92	не может	7	3
93	не было	5	3
94	в той	3	3
95	тем самым	5	3
96	с точки	2	3
97	не имеет	9	3
98	и по	2	3
99	можно было	4	3
100	нас в	4	3
101	ничем не	2	3
102	тем что	4	3
103	как о	5	3
104	его в	3	3
105	так как	9	3
106	перед нами	8	2
107	что все	2	2
108	ни было	3	2
109	именно в	2	2
110	никогда не	6	2
111	он только	2	2
112	в этих	2	2
113	здесь только	7	2
114	здесь и	3	2
115	другими словами	6	2
116	и во	2	2
117	с этим	2	2
118	на самом	7	2
119	есть то	3	2
120	есть не	5	2
121	и ее	3	2
122	к тому	3	2
123	нас не	5	2
124	и как	3	2
125	по своему	2	2
126	одно и	3	2
127	еще не	5	2
128	того что	8	2
129	и может	2	2
130	мы в	4	2
131	вся эта	3	2
132	в заключение	3	2
133	а также	4	2
134	дело не	2	2
135	не есть	35	2
136	же в	3	2
137	и образ	2	2
138	в процессе	2	2
139	образом и	2	2
140	и всегда	2	2
141	во всей	3	2
142	как нечто	9	2
143	в связи	7	2
144	и сама	2	2
145	его как	3	2
146	не просто	23	2
147	только на	5	2
148	а не	18	2
149	а только	5	2
150	из которых	2	2
151	уже не	7	2
152	жизнь и	2	2
153	мы не	7	2
154	у них	2	2
155	или в	4	2
156	в данном	9	2
157	и то	14	2
158	в результате	2	2
159	во всяком	9	2
160	может иметь	3	2
161	к самому	2	2
162	в которых	3	2
163	также и	16	2
164	дело в	4	2
165	мы сейчас	2	2
166	бы в	2	2
167	в чем	4	2
168	в которой	2	2
169	с ним	7	2
170	мы имеем	2	2
171	это было	2	2
172	том как	2	2
